paper_id,venue,year,title,score,tier,matched_groups,abstract,evidence,penalties,pdf,url,has_abstract,source_file
iclr2026_papers:6710,ICLR,2026,Can Exploration Save Us from Adversarial Attacks? A Reinforcement Learning Approach to Adversarial Robustness,11,C-Foundation,adversarial_core;classification_context;vision_context,"Although considerable progress has been made toward enhancing the robustness of deep neural networks (DNNs), they continue to exhibit significant vulnerability to gradient-based adversarial attacks in supervised learning (SL) settings. We investigate adversarial robustness under reinforcement learning (RL), training image classifiers with policy-gradient objectives and $\epsilon$-greedy exploration. When training models with several architectures on CIFAR-10, CIFAR-100, and ImageNet-100 datasets, RL consistently improves adversarial accuracy under white-box gradient-based attacks. Our results show that on a representative 6-layer CNN, adversarial accuracy increases from approximately 5\% to 55\% on CIFAR-10, 2\% to 25\% on CIFAR-100, and 5\% to 18\% on ImageNet-100, while clean accuracy decreases only 3–5\% relative to SL. However, transfer analysis reveals that adversarial examples crafted on RL models transfer poorly: both SL and RL retain approximately 43\% accuracy against these attacks. In contrast, adversarial examples crafted on SL models transfer effectively, reducing both SL and plain RL to around 8\% accuracy. This indicates that while plain RL can prevent the generation of strong adversarial examples, it remains vulnerable to transferred attacks from other models, thus requiring adversarial training (RL-adv, $\sim$30\% adversarial accuracy) for comprehensive defense against cross-model attacks. Analysis of loss geometry and gradient dynamics show that RL induces smaller gradient norms and rapidly changing input-gradient directions, reducing exploitable information for gradient-based attackers. Despite higher computational overhead, these findings suggest RL-based training can complement existing defenses by naturally smoothing loss landscapes, motivating hybrid approaches that combine SL efficiency with RL-induced gradient regularization.","{""adversarial_core"": [""Can Exploration Save Us from Adversarial Attacks? A Reinforcement Learning Approach to Adversarial Robu""], ""vision_context"": [""robustness under reinforcement learning (RL), training image classifiers with policy-gradient objectives and $\\epsi"", ""on. When training models with several architectures on CIFAR-10, CIFAR-100, and ImageNet-100 datasets, RL consistently"", ""with several architectures on CIFAR-10, CIFAR-100, and ImageNet-100 datasets, RL consistently improves adversarial acc"", ""dient-based attacks reinforcement learning exploration image classification transfer attacks robustness analysis""], ""classification_context"": [""robustness under reinforcement learning (RL), training image classifiers with policy-gradient objectives and $\\epsilon$-greedy"", ""cks. Our results show that on a representative 6-layer CNN, adversarial accuracy increases from approximately 5\\%"", ""on. When training models with several architectures on CIFAR-10, CIFAR-100, and ImageNet-100 datasets, RL consistently"", ""with several architectures on CIFAR-10, CIFAR-100, and ImageNet-100 datasets, RL consistently improves adversarial acc""]}",{},https://openreview.net/pdf/6cdcea68df3dc0d8413f6182f7655dfe51136ab3.pdf,https://openreview.net/forum?id=L3xLWvPZhb,True,iclr2026_papers.json
neurips2025_papers:4980,NEURIPS,2025,Consensus-Robust Transfer Attacks via Parameter and Representation Perturbations,11,C-Foundation,adversarial_core;classification_context;vision_context,"Adversarial examples crafted on one model often exhibit poor transferability to others, hindering their effectiveness in black-box settings. This limitation arises from two key factors: (i) \emph{decision-boundary variation} across models and (ii) \emph{representation drift} in feature space. We address these challenges through a new perspective that frames transferability for \emph{untargeted attacks} as a \emph{consensus-robust optimization} problem: adversarial perturbations should remain effective across a neighborhood of plausible target models. To model this uncertainty, we introduce two complementary perturbation channels: a \emph{parameter channel}, capturing boundary shifts via weight perturbations, and a \emph{representation channel}, addressing feature drift via stochastic blending of clean and adversarial activations. We then propose \emph{CORTA} (COnsensus--Robust Transfer Attack), a lightweight attack instantiated from this robust formulation using two first-order strategies: (i) sensitivity regularization based on the squared Frobenius norm of logits’ Jacobian with respect to weights, and (ii) Monte Carlo sampling for blended feature representations. Our theoretical analysis provides a certified lower bound linking these approximations to the robust objective. Extensive experiments on CIFAR-100 and ImageNet show that CORTA significantly outperforms state-of-the-art transfer-based methods---including ensemble approaches---across CNN and Vision Transformer targets. Notably, CORTA achieves a \emph{19.1 percentage-point gain in transfer success rate over the best prior method} while using only a single surrogate model.","{""adversarial_core"": [""Attacks via Parameter and Representation Perturbations Adversarial examples crafted on one model often exhibit poor transferabilit""], ""vision_context"": [""thods---including ensemble approaches---across CNN and Vision Transformer targets. Notably, CORTA achieves a \\emph{1"", ""ions to the robust objective. Extensive experiments on CIFAR-100 and ImageNet show that CORTA significantly outperforms"", ""bust objective. Extensive experiments on CIFAR-100 and ImageNet show that CORTA significantly outperforms state-of-the""], ""classification_context"": [""based methods---including ensemble approaches---across CNN and Vision Transformer targets. Notably, CORTA achieve"", ""ions to the robust objective. Extensive experiments on CIFAR-100 and ImageNet show that CORTA significantly outperforms"", ""bust objective. Extensive experiments on CIFAR-100 and ImageNet show that CORTA significantly outperforms state-of-the""]}",{},https://openreview.net/pdf/ce358373fc8c2b3e8f92517157365bfbe90225f0.pdf,https://openreview.net/forum?id=NCzNOKjKnD,True,neurips2025_papers.json
icml2025_papers:3046,ICML,2025,"One Stone, Two Birds: Enhancing Adversarial Defense Through the Lens of Distributional Discrepancy",11,C-Foundation,adversarial_core;classification_context;vision_context,"Statistical adversarial data detection(SADD) detects whether an upcoming batch containsadversarial examples(AEs) by measuring the distributional discrepancies betweenclean examples(CEs) and AEs. In this paper, we explore the strength of SADD-based methods by theoretically showing that minimizing distributional discrepancy can help reduce the expected loss on AEs. Despite these advantages, SADD-based methods have a potential limitation: they discard inputs that are detected as AEs, leading to the loss of clean information within those inputs. To address this limitation, we propose a two-pronged adversarial defense method, namedDistributional-discrepancy-basedAdversarialDefense (DAD). In the training phase, DAD first optimizes the test power of themaximum mean discrepancy(MMD) to derive MMD-OPT, which isa stone that kills two birds. MMD-OPT first serves as aguiding signalto minimize the distributional discrepancy between CEs and AEs to train a denoiser. Then, it serves as adiscriminatorto differentiate CEs and AEs during inference. Overall, in the inference stage, DAD consists of a two-pronged process: (1) directly feeding the detected CEs into the classifier, and (2) removing noise from the detected AEs by the distributional-discrepancy-based denoiser. Extensive experiments show that DAD outperforms currentstate-of-the-art(SOTA) defense methods bysimultaneouslyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box attacks. Codes are publicly available at: https://github.com/tmlr-group/DAD.","{""adversarial_core"": [""One Stone, Two Birds: Enhancing Adversarial Defense Through the Lens of Distributional Discrepancy Statist"", ""A) defense methods bysimultaneouslyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box""], ""vision_context"": [""bysimultaneouslyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box attacks. Co"", ""slyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box attacks. Codes are publi""], ""classification_context"": [""bysimultaneouslyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box attacks. Co"", ""slyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box attacks. Codes are publi"", ""A) defense methods bysimultaneouslyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25bn/zhang25bn.pdf,,True,icml2025_papers.json
cvpr2026_papers:1037,CVPR,2026,Robustness Under Data Scarcity: Few-Shot Continual Adversarial Training for Evolving Threats,11,C-Foundation,adversarial_core;classification_context;vision_context,"Deep learning models remain highly vulnerable to evolving adversarial attacks. While existing continual adversarial training approaches often assume abundant adversarial data at each stage, real-world scenarios frequently involve limited data availability. This paper addresses the setting of Few-shot Continual Adversarial Training, where only a small number of adversarial examples are available per stage, presenting major challenges in achieving robust generalization and mitigating catastrophic forgetting. To tackle these challenges, we propose a novel continual adversarial training framework that incorporates three key components: (i) an Adversarial Margin loss that explicitly pushes clean samples away from decision boundaries to enhance feature discrimination; (ii) a Gaussian mixture model Prototype Replay strategy that synthesizes representative pseudo-features to preserve knowledge of past adversarial domains; and (iii) a Multi-Domain Balanced loss that guides updates to stabilize learning across diverse attack distributions. Extensive experiments on ImageNet-1K and CIFAR-100 demonstrate that our approach consistently outperforms state-of-the-art methods in both clean and robust accuracy across a variety of adversarial settings. The code will be released.","{""adversarial_core"": [""Robustness Under Data Scarcity: Few-Shot Continual Adversarial Training for Evolving Threats Deep learning models remain highl"", ""outperforms state-of-the-art methods in both clean and robust accuracy across a variety of adversarial settings. The code wil""], ""vision_context"": [""istributions. Extensive experiments on ImageNet-1K and CIFAR-100 demonstrate that our approach consistently outperforms"", ""diverse attack distributions. Extensive experiments on ImageNet-1K and CIFAR-100 demonstrate that our approach consist""], ""classification_context"": [""istributions. Extensive experiments on ImageNet-1K and CIFAR-100 demonstrate that our approach consistently outperforms"", ""diverse attack distributions. Extensive experiments on ImageNet-1K and CIFAR-100 demonstrate that our approach consist"", ""outperforms state-of-the-art methods in both clean and robust accuracy across a variety of adversarial settings. The code wil""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_Robustness_Under_Data_Scarcity_Few-Shot_Continual_Adversarial_Training_for_Evolving_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/36533,True,cvpr2026_papers.json
iclr2026_papers:7013,ICLR,2026,SINAI: Strategic Injection of Noise for Adversarial Defense with Improved Accuracy–Robustness Tradeoffs,11,C-Foundation,adversarial_core;classification_context;vision_context,"Vision models are widely used for edge deployment, but they are highly vulnerable to query-based black-box adversarial attacks. Existing noise injection defenses, while promising, often overlook the unique characteristics of vision models, such as the heterogeneity between attention and feedforward modules, which fundamentally shape how injected noise propagates. Thus, previous methods yield suboptimal trade-offs between clean and robust accuracy. In this work, we scrutinize noise injection methods to vision models and provide two insights: (1) noise injection should explicitly consider the activation function, as attention modules with Softmax respond differently from FFN and CNN modules with GeLU or ReLU, and (2) gradient norms vary across logits within the same layer, so uniform noise injection for all the logits can perturb high-gradient logits and hurt clean accuracy, which motivates a fine-grained, logit-aware allocation strategy. Building on these observations, we propose an adaptive noise injection defense that combines module-level and logit-level noise allocation: injecting stronger noise to attention with softmax, while applying fine-grained, logit-aware noise in GeLU/ReLU based FFN and convolutional modules. We then formulate the search process of noise injection hyperparameters as a constrained optimization problem, in which the clean accuracy drop is bounded, and solve it via Bayesian optimization. Experiments on ViT-B-16-224 with ImageNet show that our method improves average robust accuracy by 4.2\% over feature noise defense under three 10k steps query-based black-box attacks with $\approx$2\% clean accuracy drop.","{""adversarial_core"": [""SINAI: Strategic Injection of Noise for Adversarial Defense with Improved Accuracy–Robustness Tradeoffs Vision mod"", ""methods yield suboptimal trade-offs between clean and robust accuracy. In this work, we scrutinize noise injection methods t""], ""vision_context"": [""al Defense with Improved Accuracy–Robustness Tradeoffs Vision models are widely used for edge deployment, but they a"", ""ayesian optimization. Experiments on ViT-B-16-224 with ImageNet show that our method improves average robust accuracy""], ""classification_context"": [""modules with Softmax respond differently from FFN and CNN modules with GeLU or ReLU, and (2) gradient norms vary"", ""ayesian optimization. Experiments on ViT-B-16-224 with ImageNet show that our method improves average robust accuracy"", ""methods yield suboptimal trade-offs between clean and robust accuracy. In this work, we scrutinize noise injection methods t""]}",{},https://openreview.net/pdf/ca51a9f0101abdb5bac536d3138357ec3a232348.pdf,https://openreview.net/forum?id=FKmSQWLcCF,True,iclr2026_papers.json
neurips2025_papers:1947,NEURIPS,2025,Alias-Free ViT: Fractional Shift Invariance via Linear Attention,10,C-Foundation,adversarial_core;classification_context;vision_context,"Transformers have emerged as a competitive alternative to convnets in vision tasks, yet they lack the architectural inductive bias of convnets, which may hinder their potential performance. Specifically, Vision Transformers (ViTs) are not translation‑invariant and are more sensitive to minor image translations than standard convnets. Previous studies have shown, however, that convnets are also not perfectly shift‑invariant, due to aliasing in downsampling and nonlinear layers. Consequently, anti‑aliasing approaches have been proposed to certify convnets translation robustness. Building on this line of work, we propose an Alias‑Free ViT, which combines two main components. First, it uses alias-free downsampling and nonlinearities. Second, it uses linear cross‑covariance attention that is shift‑equivariant to both integer and fractional translations, enabling a shift-invariant global representation. Our model maintains competitive performance in image classification and outperforms similar‑sized models in terms of robustness to adversarial translations.","{""adversarial_core"": [""ation and outperforms similar‑sized models in terms of robustness to adversarial translations. Vision Transformers alias‑free aliasing""], ""vision_context"": [""translation‑invariant and are more sensitive to minor image translations than standard convnets. Previous studies"", ""ve emerged as a competitive alternative to convnets in vision tasks, yet they lack the architectural inductive bias"", ""tion cross‑covariance attention translation robustness ImageNet XCiT"", ""tation. Our model maintains competitive performance in image classification and outperforms similar‑sized models in terms of robus""], ""classification_context"": [""tation. Our model maintains competitive performance in image classification and outperforms similar‑sized models in terms of robus"", ""tion cross‑covariance attention translation robustness ImageNet XCiT""]}",{},https://openreview.net/pdf/925f55288388a80ea7c08817dc8615b52273dfb8.pdf,https://openreview.net/forum?id=R3YQrZYnQa,True,neurips2025_papers.json
iclr2026_papers:2719,ICLR,2026,BIRD: Behavior Induction via Representation-structure Distillation,10,C-Foundation,adversarial_core;classification_context;vision_context,"Human-aligned deep learning models exhibit behaviors consistent with human values, such as robustness, safety, and fairness. Transferring these behavioral properties to models trained on different tasks or data distributions remains challenging: aligned behavior is easily forgotten during fine-tuning, and collecting task-specific data that preserves this behavior can be prohibitively costly. We introduce BIRD, a flexible framework for transferring aligned behavior by matching the internal representation structure of a student model to that of a teacher. Applied to out-of-distribution robustness in image classification, BIRD outperforms fine-tuning, transfer learning, and continual learning methods, improving robust accuracy by up to 18\% over the next strongest baseline. It remains effective even when the teacher is trained on a much simpler dataset and is $25\times$ smaller in parameter count than the student. In a large-scale study of over 400 teacher-student pairs, we show that three interpretable and computable properties of the teacher's representations explain up to 85\% of the variance in transfer success, offering practical guidance for teacher selection and design. We further show that BIRD generalizes beyond applications in vision by enhancing safety alignment in language models when paired with Direct Preference Optimization and improving weak-to-strong generalization when combined with soft-label distillation. BIRD turns small, well-aligned models into scalable alignment seeds, mitigating challenges from key bottlenecks in deploying safe AI systems.","{""adversarial_core"": [""er learning, and continual learning methods, improving robust accuracy by up to 18\\% over the next strongest baseline. It rem""], ""vision_context"": [""teacher. Applied to out-of-distribution robustness in image classification, BIRD outperforms fine-tuning, transfer"", ""ther show that BIRD generalizes beyond applications in vision by enhancing safety alignment in language models when"", ""teacher. Applied to out-of-distribution robustness in image classification, BIRD outperforms fine-tuning, transfer learning, and""], ""classification_context"": [""teacher. Applied to out-of-distribution robustness in image classification, BIRD outperforms fine-tuning, transfer learning, and"", ""er learning, and continual learning methods, improving robust accuracy by up to 18\\% over the next strongest baseline. It rem""]}",{},https://openreview.net/pdf/284b70a37166ef5fea152095837c2edfafa25b7e.pdf,https://openreview.net/forum?id=jbJGhHpwmJ,True,iclr2026_papers.json
neurips2025_papers:4028,NEURIPS,2025,Certifying Deep Network Risks and Individual Predictions with PAC-Bayes Loss via Localized Priors,10,C-Foundation,adversarial_core;classification_context;vision_context,"As machine learning increasingly relies on large, opaque foundation models powering generative and agentic AI, deploying these systems in safety-critical settings demands rigorous guarantees on their generalization beyond training data. PAC-Bayes theory offers principled certificates linking training performance to generalization risk, yet existing approaches are rarely practical: simple theoretical priors yield vacuous bounds, while data-dependent priors trained separately are computationally costly or introduce bias. To bridge this fundamental gap, we propose a localized PAC-Bayes prior—a structured, computationally efficient prior softly concentrated near parameters favored during standard training, enabling effective exploration without costly data splits. By integrating this localized prior directly into standard training loss, we produce practically tight generalization certificates without workflow disruption. Theoretically, under standard neural tangent kernel assumptions, our bound shrinks as networks widen and datasets grow, becoming negligible in practical regimes. Empirically, we certify generalization across image classification, NLP fine-tuning, and semantic segmentation, typically within three percentage points of test errors at ImageNet scale, while providing rigorous guarantees for individual predictions, selective rejection, and robustness.","{""adversarial_core"": [""ization Data-dependent bounds Bayesian neural networks Adversarial robustness Model calibration Trustworthy AI""], ""vision_context"": [""regimes. Empirically, we certify generalization across image classification, NLP fine-tuning, and semantic segmenta"", ""cally within three percentage points of test errors at ImageNet scale, while providing rigorous guarantees for individ"", ""regimes. Empirically, we certify generalization across image classification, NLP fine-tuning, and semantic segmentation, typically""], ""classification_context"": [""regimes. Empirically, we certify generalization across image classification, NLP fine-tuning, and semantic segmentation, typically"", ""cally within three percentage points of test errors at ImageNet scale, while providing rigorous guarantees for individ""]}",{},https://openreview.net/pdf/8e68876776135a21a8c1d64d587cb43d2e7b340f.pdf,https://openreview.net/forum?id=T6d5IYr8PJ,True,neurips2025_papers.json
cvpr2026_papers:1447,CVPR,2026,DASH: A Meta-Attack Framework for Synthesizing Effective and Stealthy Adversarial Examples,10,C-Foundation,adversarial_core;classification_context;vision_context,"Numerous techniques have been proposed for generating adversarial examples under strict $\ \ell_p \$-norm constraints. However, such norm-bounded examples often fail to align well with human perception, and only recently have a few methods begun specifically exploring perceptually aligned adversarial examples. Moreover, it remains unclear whether insights from $\ \ell_p \$-constrained attacks can be effectively leveraged to improve perceptual efficacy. In this paper, we introduce DASH, a differentiable meta-attack framework that generates effective and perceptually aligned adversarial examples by strategically composing existing $\ \ell_p \$-based attack methods. DASH operates in a multi-stage fashion: at each stage, it aggregates candidate adversarial examples from multiple base attacks using learned, adaptive weights and propagates the result to the next stage. A novel meta-loss function guides this process by jointly minimizing misclassification loss and perceptual distortion, enabling the framework to dynamically modulate the contribution of each base attack throughout the stages. We evaluate DASH on adversarially trained robust models across CIFAR-10, CIFAR-100, and ImageNet while considering visual perception metrics (e.g. SSIM, FID, LPIPS) in the perturbation budget (instead of $\ \ell_p \$-norm). Despite relying solely on $\ \ell_p \$-constrained based methods, DASH significantly outperforms state-of-the-art perceptual attacks such as AdvAD, achieving higher attack success rates (e.g., 20.63\% improvement) and superior visual quality, as measured by SSIM, LPIPS, and FID (improvements of $\approx11$, 0.015, and 5.7, respectively). DASH generalizes well to unseen defenses and different white-box/black-box scenarios, making it a practical and strong baseline for evaluating robustness.","{""adversarial_core"": [""tack Framework for Synthesizing Effective and Stealthy Adversarial Examples Numerous techniques have been proposed for generating""], ""vision_context"": [""ss CIFAR-10, CIFAR-100, and ImageNet while considering visual perception metrics (e.g. SSIM, FID, LPIPS) in the pert"", ""ate DASH on adversarially trained robust models across CIFAR-10, CIFAR-100, and ImageNet while considering visual perc"", ""trained robust models across CIFAR-10, CIFAR-100, and ImageNet while considering visual perception metrics (e.g. SSIM""], ""classification_context"": [""ate DASH on adversarially trained robust models across CIFAR-10, CIFAR-100, and ImageNet while considering visual perc"", ""trained robust models across CIFAR-10, CIFAR-100, and ImageNet while considering visual perception metrics (e.g. SSIM""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Al_Nomaan_Nafi_DASH_A_Meta-Attack_Framework_for_Synthesizing_Effective_and_Stealthy_Adversarial_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/40017,True,cvpr2026_papers.json
iclr2026_papers:5180,ICLR,2026,LipNeXt: Scaling up Lipschitz-based Certified Robustness to Billion-parameter Models,10,C-Foundation,adversarial_core;classification_context;vision_context,"Lipschitz-based certification offers efficient, deterministic robustness guarantees but has struggled to scale in model size, training efficiency, and ImageNet performance. We introduce \emph{LipNeXt}, the first \emph{constraint-free} and \emph{convolution-free} 1-Lipschitz architecture for certified robustness. LipNeXt is built using two techniques: (1) a manifold optimization procedure that updates parameters directly on the orthogonal manifold and (2) a \emph{Spatial Shift Module} to model spatial pattern without convolutions. The full network uses orthogonal projections, spatial shifts, a simple 1-Lipschitz $\beta$-Abs nonlinearity, and $L_2$ spatial pooling to maintain tight Lipschitz control while enabling expressive feature mixing. Across CIFAR-10/100 and Tiny-ImageNet, LipNeXt achieves state-of-the-art clean and certified robust accuracy (CRA), and on ImageNet it scales to 1–2B large models, improving CRA over prior Lipschitz models (e.g., up to $+8\%$ at $\varepsilon{=}1$) while retaining efficient, stable low-precision training. These results demonstrate that Lipschitz-based certification can benefit from modern scaling trends without sacrificing determinism or efficiency.","{""adversarial_core"": [""LipNeXt achieves state-of-the-art clean and certified robust accuracy (CRA), and on ImageNet it scales to 1–2B large models,""], ""vision_context"": [""ntrol while enabling expressive feature mixing. Across CIFAR-10/100 and Tiny-ImageNet, LipNeXt achieves state-of-the-a"", ""ggled to scale in model size, training efficiency, and ImageNet performance. We introduce \\emph{LipNeXt}, the first \\e""], ""classification_context"": [""ntrol while enabling expressive feature mixing. Across CIFAR-10/100 and Tiny-ImageNet, LipNeXt achieves state-of-the-a"", ""ggled to scale in model size, training efficiency, and ImageNet performance. We introduce \\emph{LipNeXt}, the first \\e"", ""LipNeXt achieves state-of-the-art clean and certified robust accuracy (CRA), and on ImageNet it scales to 1–2B large models,""]}",{},https://openreview.net/pdf/c0a68ad12a8d21a0b40e1adf0d54f97ce684fc8c.pdf,https://openreview.net/forum?id=2fgzEJPH02,True,iclr2026_papers.json
