paper_id,venue,year,title,score,tier,matched_groups,abstract,evidence,penalties,pdf,url,has_abstract,source_file
iclr2026_papers:2378,ICLR,2026,DRIFT: Divergent Response in Filtered Transformations for Robust Adversarial Defense,26,A-Core,adaptive_evaluation;adversarial_core;classification_context;consistency_alignment;input_transform_compression;vision_context,"Deep neural networks remain highly vulnerable to adversarial examples, and most defenses collapse once gradients can be reliably estimated. We identify \emph{gradient consensus}—the tendency of randomized transformations to yield aligned gradients—as a key driver of adversarial transferability. Attackers exploit this consensus to construct perturbations that remain effective across transformations. We introduce \textbf{DRIFT} (Divergent Response in Filtered Transformations), a stochastic ensemble of lightweight, learnable filters trained to actively disrupt gradient consensus. Unlike prior randomized defenses that rely on gradient masking, DRIFT enforces \emph{gradient dissonance} by maximizing divergence in Jacobian- and logit-space responses while preserving natural predictions. Our contributions are threefold: (i) we formalize gradient consensus and provide a theoretical analysis linking consensus to transferability; (ii) we propose a consensus-divergence training strategy combining prediction consistency, Jacobian separation, logit-space separation, and adversarial robustness; and (iii) we show that DRIFT achieves substantial robustness gains on ImageNet across CNNs and Vision Transformers, outperforming state-of-the-art preprocessing, adversarial training, and diffusion-based defenses under adaptive white-box, transfer-based, and gradient-free attacks. DRIFT delivers these improvements with negligible runtime and memory cost, establishing gradient divergence as a practical and generalizable principle for adversarial defense.","{""adversarial_core"": [""ergent Response in Filtered Transformations for Robust Adversarial Defense Deep neural networks remain highly vulnerable to adver""], ""input_transform_compression"": [""We identify \\emph{gradient consensus}—the tendency of randomized transformations to yield aligned gradients—as a key driver of adversar""], ""adaptive_evaluation"": [""nsensus. Unlike prior randomized defenses that rely on gradient masking, DRIFT enforces \\emph{gradient dissonance} by maximizi""], ""consistency_alignment"": [""ose a consensus-divergence training strategy combining prediction consistency, Jacobian separation, logit-space separation, and adve""], ""vision_context"": [""bstantial robustness gains on ImageNet across CNNs and Vision Transformers, outperforming state-of-the-art preproces"", ""ow that DRIFT achieves substantial robustness gains on ImageNet across CNNs and Vision Transformers, outperforming sta""], ""classification_context"": [""hieves substantial robustness gains on ImageNet across CNNs and Vision Transformers, outperforming state-of-the-ar"", ""ow that DRIFT achieves substantial robustness gains on ImageNet across CNNs and Vision Transformers, outperforming sta""]}",{},https://openreview.net/pdf/bad6c91aaf674abb3240050cc351fd965e5ebd88.pdf,https://openreview.net/forum?id=AYH7uBK1Gg,True,iclr2026_papers.json
iclr2026_papers:8452,ICLR,2026,Keep It Real: Challenges in Attacking Compression-Based Adversarial Purification,23,A-Core,adaptive_evaluation;adversarial_core;input_transform_compression;vision_context,"Previous work has suggested that preprocessing images through lossy compression can defend against adversarial perturbations, but comprehensive attack evaluations have been lacking. In this paper, we construct strong white-box and adaptive attacks against various compression models and identify a critical challenge for attackers: high realism in reconstructed images significantly increases attack difficulty. Through rigorous evaluation across multiple attack scenarios, we demonstrate that compression models capable of producing realistic, high-fidelity reconstructions are substantially more resistant to our attacks. In contrast, low-realism compression models can be broken. Our analysis reveals that this is not due to gradient masking. Rather, realistic reconstructions maintaining distributional alignment with natural images seem to offer inherent robustness. This work highlights a significant obstacle for future adversarial attacks and suggests that developing more effective techniques to overcome realism represents an essential challenge for comprehensive security evaluation.","{""adversarial_core"": [""ng images through lossy compression can defend against adversarial perturbations, but comprehensive attack evaluations have been lackin""], ""input_transform_compression"": [""ersarial Purification Previous work has suggested that preprocessing images through lossy compression can defend against adversari"", ""s work has suggested that preprocessing images through lossy compression can defend against adversarial perturbations, but comp"", ""Keep It Real: Challenges in Attacking Compression-Based Adversarial Purification Previous work has suggested that preproce"", ""eep It Real: Challenges in Attacking Compression-Based Adversarial Purification Previous work has suggested that preprocessing images""], ""adaptive_evaluation"": [""king. In this paper, we construct strong white-box and adaptive attacks against various compression models and identify a crit"", ""e broken. Our analysis reveals that this is not due to gradient masking. Rather, realistic reconstructions maintaining distrib""], ""vision_context"": [""ication Previous work has suggested that preprocessing images through lossy compression can defend against adversari""]}",{},https://openreview.net/pdf/33227300ef007c79acfd3a8bf20daeacde8ce07c.pdf,https://openreview.net/forum?id=2xUp4TBZkL,True,iclr2026_papers.json
iclr2026_papers:9065,ICLR,2026,Randomized Feature Squeezing against Unseen $ {l_p} $ Attacks without Adversarial Training,19,A-Core,adversarial_core;classification_context;input_bit_quantization;vision_context,"Deep learning has made tremendous progress in the last decades; however, it is not robust to adversarial attacks. The most effective approach is perhaps adversarial training, although it is impractical because it requires prior knowledge about the attackers and incurs high computational costs. In this paper, we propose a novel approach that can train a robust network only through standard training with clean images without awareness of the attacker's strategy. We add a specially designed network input layer, which accomplishes a randomized feature squeezing to reduce the malicious perturbation. It achieves excellent robustness against unseen ${l_0,l_1,l_2}$ and $ {l_\infty} $ attacks at one time in terms of the computational cost of the attacker versus the defender through just 100/50 epochs of standard training with clean images in CIFAR-10/ImageNet. The thorough experimental results validate the high performance. Moreover, it can also defend against unlearnable examples generated by One-Pixel Shortcut which breaks down the adversarial training approach.","{""adversarial_core"": [""ure Squeezing against Unseen $ {l_p} $ Attacks without Adversarial Training Deep learning has made tremendous progress in the last"", ""ndous progress in the last decades; however, it is not robust to adversarial attacks. The most effective approach is perhaps advers""], ""input_bit_quantization"": [""Randomized Feature Squeezing against Unseen $ {l_p} $ Attacks without Adversarial T""], ""vision_context"": [""bust network only through standard training with clean images without awareness of the attacker's strategy. We add a"", ""o defend against unlearnable examples generated by One-Pixel Shortcut which breaks down the adversarial training ap"", ""00/50 epochs of standard training with clean images in CIFAR-10/ImageNet. The thorough experimental results validate t"", ""chs of standard training with clean images in CIFAR-10/ImageNet. The thorough experimental results validate the high p""], ""classification_context"": [""00/50 epochs of standard training with clean images in CIFAR-10/ImageNet. The thorough experimental results validate t"", ""chs of standard training with clean images in CIFAR-10/ImageNet. The thorough experimental results validate the high p""]}",{},https://openreview.net/pdf/76a1b5dee87f4e47c1169d7b514a16c4ea2d521e.pdf,https://openreview.net/forum?id=3MyTiaYpVs,True,iclr2026_papers.json
icml2024_papers:256,ICML,2024,Robust Classification via a Single Diffusion Model,19,A-Core,adaptive_evaluation;adversarial_core;classification_context;vision_context,"Diffusion models have been applied to improve adversarial robustness of image classifiers by purifying the adversarial noises or generating realistic data for adversarial training. However, diffusion-based purification can be evaded by stronger adaptive attacks while adversarial training does not perform well under unseen threats, exhibiting inevitable limitations of these methods. To better harness the expressive power of diffusion models, this paper proposes Robust Diffusion Classifier (RDC), a generative classifier that is constructed from a pre-trained diffusion model to be adversarially robust. RDC first maximizes the data likelihood of a given input and then predicts the class probabilities of the optimized input using the conditional likelihood estimated by the diffusion model through Bayes’ theorem. To further reduce the computational cost, we propose a new diffusion backbone called multi-head diffusion and develop efficient sampling strategies. As RDC does not require training on particular adversarial attacks, we demonstrate that it is more generalizable to defend against multiple unseen threats. In particular, RDC achieves $75.67%$ robust accuracy against various $\ell_\infty$ norm-bounded adaptive attacks with $\epsilon_\infty=8/255$ on CIFAR-10, surpassing the previous state-of-the-art adversarial training models by $+4.77%$. The results highlight the potential of generative classifiers by employing pre-trained diffusion models for adversarial robustness compared with the commonly studied discriminative classifiers.","{""adversarial_core"": [""on Model Diffusion models have been applied to improve adversarial robustness of image classifiers by purifying the adversarial nois"", ""e unseen threats. In particular, RDC achieves $75.67%$ robust accuracy against various $\\ell_\\infty$ norm-bounded adaptive at""], ""adaptive_evaluation"": [""diffusion-based purification can be evaded by stronger adaptive attacks while adversarial training does not perform well under""], ""vision_context"": [""have been applied to improve adversarial robustness of image classifiers by purifying the adversarial noises or gen"", ""unded adaptive attacks with $\\epsilon_\\infty=8/255$ on CIFAR-10, surpassing the previous state-of-the-art adversarial""], ""classification_context"": [""have been applied to improve adversarial robustness of image classifiers by purifying the adversarial noises or generating real"", ""unded adaptive attacks with $\\epsilon_\\infty=8/255$ on CIFAR-10, surpassing the previous state-of-the-art adversarial"", ""e unseen threats. In particular, RDC achieves $75.67%$ robust accuracy against various $\\ell_\\infty$ norm-bounded adaptive at""]}",{},https://raw.githubusercontent.com/mlresearch/v235/main/assets/chen24k/chen24k.pdf,,True,icml2024_papers.json
iclr2026_papers:9341,ICLR,2026,Boosting Adversarial Robustness and Generalization with Dictionary Structure,18,A-Core,adaptive_evaluation;adversarial_core;classification_context;evaluation_protocol,"This work investigates a novel approach to boost adversarial robustness and generalization by incorporating structural prior into the design of deep learning models. Specifically, our study surprisingly reveals that existing dictionary learning-inspired convolutional neural networks (CNNs) provide a false sense of security against adversarial attacks. To address this, we propose Elastic Dictionary Learning Networks (EDLNets), a novel ResNet architecture that significantly enhances adversarial robustness and generalization. Extensive and reliable experiments demonstrate consistent and significant performance improvement on open robustness leaderboards such as RobustBench, surpassing state-of-the-art baselines. To the best of our knowledge, this is the first work to discover and validate that dictionary structure can reliably enhance deep learning robustness under strong adaptive attacks, unveiling a promising direction for future research.","{""adversarial_core"": [""Boosting Adversarial Robustness and Generalization with Dictionary Structure This work""], ""adaptive_evaluation"": [""reliably enhance deep learning robustness under strong adaptive attacks, unveiling a promising direction for future research.""], ""evaluation_protocol"": [""ce improvement on open robustness leaderboards such as RobustBench, surpassing state-of-the-art baselines. To the best of""], ""classification_context"": [""onary learning-inspired convolutional neural networks (CNNs) provide a false sense of security against adversarial"", ""lastic Dictionary Learning Networks (EDLNets), a novel ResNet architecture that significantly enhances adversarial r""]}",{},https://openreview.net/pdf/7c0789d161121fc29ff3c00568c96e84820ba725.pdf,https://openreview.net/forum?id=c7rcjMTe4e,True,iclr2026_papers.json
iclr2026_papers:5658,ICLR,2026,NIC-RobustBench: A Comprehensive Open-Source Toolkit for Neural Image Compression and Robustness Analysis,17,A-Core,adversarial_core;evaluation_protocol;input_transform_compression;vision_context,"Adversarial robustness of neural networks is a rapidly developing and important research area, ensuring the reliable use of neural network models in areas such as computer vision, natural language processing, and others. With the emergence of neural image compression (NIC) methods and the introduction of the first standard, JPEG AI, the question of robustness has also become critical in image compression. Unstable NIC models are more prone to producing distortions and can be exploited to compromise downstream vision tasks that rely on compressed data. Most existing benchmarks for NIC focus primarily on compression efficiency and reconstruction quality, while prior robustness studies have been limited to a small number of codecs and attacks. To address this gap, we introduce \textbf{NIC-RobustBench}, the first open-source framework for evaluating the adversarial robustness of NIC methods. It integrates 6 adversarial attacks and 7 defense strategies in addition to traditional Rate-Distortion (RD) evaluation. The framework includes the largest number of codec types among all known NIC libraries and is easily scalable. The paper provides a comprehensive overview of NIC-RobustBench alongside an extensive robustness evaluation of modern NIC methods. Our code is publicly available at \textit{link hidden for blind review}. We believe our framework will become an essential tool for developing robust neural image compression techniques.","{""adversarial_core"": [""t for Neural Image Compression and Robustness Analysis Adversarial robustness of neural networks is a rapidly developing and importa""], ""input_transform_compression"": [""C-RobustBench: A Comprehensive Open-Source Toolkit for Neural Image Compression and Robustness Analysis Adversarial robustness of neural networks is""], ""evaluation_protocol"": [""NIC-RobustBench: A Comprehensive Open-Source Toolkit for Neural Image"", ""ive overview of NIC-RobustBench alongside an extensive robustness evaluation of modern NIC methods. Our code is publicly available""], ""vision_context"": [""tBench: A Comprehensive Open-Source Toolkit for Neural Image Compression and Robustness Analysis Adversarial robust"", ""use of neural network models in areas such as computer vision, natural language processing, and others. With the eme""]}",{},https://openreview.net/pdf/8e3af2958ae1e7b9aa5839f4aa3ffae22e1e6b2a.pdf,https://openreview.net/forum?id=4FNeXikOgt,True,iclr2026_papers.json
neurips2025_papers:4597,NEURIPS,2025,Adversary Aware Optimization for Robust Defense,16,A-Core,adversarial_core;classification_context;input_transform_compression;vision_context,"Deep neural networks remain highly susceptible to adversarial attacks, where small, subtle perturbations to input images may induce misclassification. We propose a novel optimization-based purification framework that directly removes these perturbations by maximizing a Bayesian-inspired objective combining a pretrained diffusion prior with a likelihood term tailored to the adversarial perturbation space. Our method iteratively refines a given input through gradient-based updates of a combined score-based loss to guide the purification process. Unlike existing optimization-based defenses that treat adversarial noise as generic corruption, our approach explicitly integrates the adversarial landscape into the objective. Experiments performed on CIFAR-10 and CIFAR-100 demonstrate strong robust accuracy against a range of common adversarial attacks. Our work offers a principled test-time defense grounded in probabilistic inference using score-based generative models. Our code can be found at \url{ https://github.com/rooshenasgroup/aaopt }.","{""adversarial_core"": [""ense Deep neural networks remain highly susceptible to adversarial attacks, where small, subtle perturbations to input images may"", ""performed on CIFAR-10 and CIFAR-100 demonstrate strong robust accuracy against a range of common adversarial attacks. Our wor""], ""input_transform_compression"": [""hub.com/rooshenasgroup/aaopt }. Adversarial robustness Adversarial purification optimization Adversarial training""], ""vision_context"": [""al attacks, where small, subtle perturbations to input images may induce misclassification. We propose a novel optim"", ""landscape into the objective. Experiments performed on CIFAR-10 and CIFAR-100 demonstrate strong robust accuracy again""], ""classification_context"": [""landscape into the objective. Experiments performed on CIFAR-10 and CIFAR-100 demonstrate strong robust accuracy again"", ""performed on CIFAR-10 and CIFAR-100 demonstrate strong robust accuracy against a range of common adversarial attacks. Our wor""]}",{},https://openreview.net/pdf/a485b6c42a0b8012fbdced19e77994d5a49d3f29.pdf,https://openreview.net/forum?id=VNbvk5pMS7,True,neurips2025_papers.json
icml2024_papers:93,ICML,2024,Diffusion Models Demand Contrastive Guidance for Adversarial Purification to Advance,16,A-Core,adversarial_core;classification_context;input_transform_compression;vision_context,"In adversarial defense, adversarial purification can be viewed as a special generation task with the purpose to remove adversarial attacks and diffusion models excel in adversarial purification for their strong generative power. With different predetermined generation requirements, various types of guidance have been proposed, but few of them focuses on adversarial purification. In this work, we propose to guide diffusion models for adversarial purification using contrastive guidance. We theoretically derive the proper noise level added in the forward process diffusion models for adversarial purification from a feature learning perspective. For the reverse process, it is implied that the role of contrastive loss guidance is to facilitate the evolution towards the signal direction. From the theoretical findings and implications, we design the forward process with the proper amount of Gaussian noise added and the reverse process with the gradient of contrastive loss as the guidance of diffusion models for adversarial purification. Empirically, extensive experiments on CIFAR-10, CIFAR-100, the German Traffic Sign Recognition Benchmark and ImageNet datasets with ResNet and WideResNet classifiers show that our method outperforms most of current adversarial training and adversarial purification methods by a large improvement.","{""adversarial_core"": [""ve Guidance for Adversarial Purification to Advance In adversarial defense, adversarial purification can be viewed as a special g""], ""input_transform_compression"": [""Diffusion Models Demand Contrastive Guidance for Adversarial Purification to Advance In adversarial defense, adversarial purific""], ""vision_context"": [""al purification. Empirically, extensive experiments on CIFAR-10, CIFAR-100, the German Traffic Sign Recognition Benchm"", ""100, the German Traffic Sign Recognition Benchmark and ImageNet datasets with ResNet and WideResNet classifiers show t""], ""classification_context"": [""Sign Recognition Benchmark and ImageNet datasets with ResNet and WideResNet classifiers show that our method outper"", ""nition Benchmark and ImageNet datasets with ResNet and WideResNet classifiers show that our method outperforms most of c"", ""al purification. Empirically, extensive experiments on CIFAR-10, CIFAR-100, the German Traffic Sign Recognition Benchm"", ""100, the German Traffic Sign Recognition Benchmark and ImageNet datasets with ResNet and WideResNet classifiers show t""]}",{},https://raw.githubusercontent.com/mlresearch/v235/main/assets/bai24b/bai24b.pdf,,True,icml2024_papers.json
iclr2026_papers:5804,ICLR,2026,Progressive Residual Tensor Networks for Adversarial Purification,16,A-Core,adversarial_core;classification_context;input_transform_compression;vision_context,"Adversarial perturbations remain a critical threat to modern vision systems, and tensor network–based purification is a promising direction thanks to its low-rank priors. Yet these methods face a fundamental reconstruction–denoising conflict: preserving pixel fidelity risks recovering adversarial residues, whereas aggressive suppression sacrifices semantic detail. We address this trade-off with a Laplacian pyramid–inspired framework that performs progressive residual reconstruction across scales. At coarse levels, the rank is kept relatively unconstrained to capture global semantic structure, while a monotonically decreasing rank schedule constrains capacity at finer levels, preventing the accumulation of fine-scale perturbations. In addition, we introduce a wavelet-based residual regularization that penalizes the energy of reconstructed high-frequency subbands, discouraging residuals from absorbing adversarial noise without undermining semantic recovery. Extensive experiments on CIFAR-10, CIFAR-100, and ImageNet show that our method preserves strong reconstruction quality on clean images while substantially improving robustness under diverse attacks, demonstrating the effectiveness of a frequency-aware, progressive tensor-network purifier.","{""adversarial_core"": [""Residual Tensor Networks for Adversarial Purification Adversarial perturbations remain a critical threat to modern vision systems, and""], ""input_transform_compression"": [""Progressive Residual Tensor Networks for Adversarial Purification Adversarial perturbations remain a critical threat to""], ""vision_context"": [""ethod preserves strong reconstruction quality on clean images while substantially improving robustness under diverse"", ""arial perturbations remain a critical threat to modern vision systems, and tensor network–based purification is a pr"", ""damental reconstruction–denoising conflict: preserving pixel fidelity risks recovering adversarial residues, wherea"", ""ndermining semantic recovery. Extensive experiments on CIFAR-10, CIFAR-100, and ImageNet show that our method preserve""], ""classification_context"": [""ndermining semantic recovery. Extensive experiments on CIFAR-10, CIFAR-100, and ImageNet show that our method preserve"", ""ery. Extensive experiments on CIFAR-10, CIFAR-100, and ImageNet show that our method preserves strong reconstruction q""]}",{},https://openreview.net/pdf/c67d187d4fd11ef886a03991bbe70677341ac7b1.pdf,https://openreview.net/forum?id=ICbrBVE11Y,True,iclr2026_papers.json
neurips2025_papers:5341,NEURIPS,2025,Model-Free Adversarial Purification via Coarse-To-Fine Tensor Network Representation,15,A-Core,adversarial_core;classification_context;input_transform_compression;vision_context,"Deep neural networks are known to be vulnerable to well-designed adversarial attacks. Although numerous defense strategies have been proposed, many are tailored to specific attacks or tasks and often fail to generalize across diverse scenarios. In this paper, we propose Tensor Network Purification (TNP), a novel model-free optimization-based purification framework built upon a specially designed tensor network decomposition algorithm. TNP depends neither on the pre-trained generative model nor the specific dataset, resulting in robust generalization across diverse adversarial scenarios. To this end, the key challenge lies in relaxing Gaussian-noise assumptions of classical decompositions and accommodating the unknown distribution of adversarial perturbations. Unlike the low-rank representation of classical decompositions, TNP aims to reconstruct the unobserved clean example from an adversarial example. Specifically, TNP leverages progressive downsampling and introduces a novel adversarial optimization objective to address the challenge of minimizing reconstruction error but without inadvertently restoring adversarial perturbations. Extensive experiments conducted on CIFAR-10, CIFAR-100, and ImageNet demonstrate that our method generalizes effectively across various norm threats, attack types, and tasks, providing a versatile and promising adversarial purification technique.","{""adversarial_core"": [""l networks are known to be vulnerable to well-designed adversarial attacks. Although numerous defense strategies have been propos""], ""input_transform_compression"": [""Model-Free Adversarial Purification via Coarse-To-Fine Tensor Network Representation Deep""], ""vision_context"": [""rial perturbations. Extensive experiments conducted on CIFAR-10, CIFAR-100, and ImageNet demonstrate that our method g"", ""sive experiments conducted on CIFAR-10, CIFAR-100, and ImageNet demonstrate that our method generalizes effectively ac""], ""classification_context"": [""rial perturbations. Extensive experiments conducted on CIFAR-10, CIFAR-100, and ImageNet demonstrate that our method g"", ""sive experiments conducted on CIFAR-10, CIFAR-100, and ImageNet demonstrate that our method generalizes effectively ac""]}",{},https://openreview.net/pdf/9a8e1949830e4f8d89080bd9744b27fdf488cd0f.pdf,https://openreview.net/forum?id=IaOhbdu2Ov,True,neurips2025_papers.json
