paper_id,venue,year,title,score,tier,matched_groups,abstract,evidence,penalties,pdf,url,has_abstract,source_file
icml2025_papers:1952,ICML,2025,CAT: Contrastive Adversarial Training for Evaluating the Robustness of Protective Perturbations in Latent Diffusion Models,17,B-Method,adaptive_evaluation;adversarial_core;consistency_alignment;vision_context,"Latent diffusion models have recently demonstrated superior capabilities in many downstream image synthesis tasks. However, customization of latent diffusion models using unauthorized data can severely compromise the privacy and intellectual property rights of data owners. Adversarial examples as protective perturbations have been developed to defend against unauthorized data usage by introducing imperceptible noise to customization samples, preventing diffusion models from effectively learning them. In this paper, we first reveal that the primary reason adversarial examples are effective as protective perturbations in latent diffusion models is the distortion of their latent representations, as demonstrated through qualitative and quantitative experiments. We then propose the Contrastive Adversarial Training (CAT) utilizing lightweight adapters as an adaptive attack against these protection methods, highlighting their lack of robustness. Extensive experiments demonstrate that our CAT method significantly reduces the effectiveness of protective perturbations in customization, urging the community to reconsider and improve the robustness of existing protective perturbations. The code is available at https://github.com/senp98/CAT.","{""adversarial_core"": [""CAT: Contrastive Adversarial Training for Evaluating the Robustness of Protective Perturbati""], ""adaptive_evaluation"": [""al Training (CAT) utilizing lightweight adapters as an adaptive attack against these protection methods, highlighting their l""], ""consistency_alignment"": [""CAT: Contrastive Adversarial Training for Evaluating the Robustness of Protective Perturbati""], ""vision_context"": [""demonstrated superior capabilities in many downstream image synthesis tasks. However, customization of latent diff""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/peng25e/peng25e.pdf,,True,icml2025_papers.json
iclr2026_papers:9261,ICLR,2026,Empirical Robustness of Pixel Diffusion Undermines Adversarial Perturbation as Protection against Diffusion-based Mimicry,16,B-Method,adaptive_evaluation;adversarial_core;vision_context,"Diffusion models have demonstrated impressive abilities in image editing and imitation, raising growing concerns about the protection of private property. A common defense strategy is to apply adversarial perturbations that can mislead a diffusion model into generating bad-quality images. However, existing research has almost entirely focused on latent diffusion models while overlooking pixel-space diffusion models. Through extensive experiments, we show that nearly all attacks designed for latent diffusion models, as well as adaptive attacks aimed at pixel-space diffusion models, fail to compromise the latter. Our analysis suggests that the weakness of latent diffusion models arises mainly from their encoder, whereas pixel-space diffusion models exhibit strong empirical robustness to adversarial perturbations. We further demonstrate that pixel-space diffusion models can serve as an effective purifier by removing adversarial patterns generated for latent diffusion models and preserving image integrity, which in turn allows them to bypass most existing protection schemes. These findings challenge the assumption that adversarial perturbations provide reliable protection for diffusion models and call for a reevaluation of their role as a protection mechanism.","{""adversarial_core"": [""Empirical Robustness of Pixel Diffusion Undermines Adversarial Perturbation as Protection against Diffusion-based Mimicry Diffusio"", ""pixel-space diffusion models exhibit strong empirical robustness to adversarial perturbations. We further demonstrate that pixel-space""], ""adaptive_evaluation"": [""tacks designed for latent diffusion models, as well as adaptive attacks aimed at pixel-space diffusion models, fail to comprom""], ""vision_context"": [""usion models have demonstrated impressive abilities in image editing and imitation, raising growing concerns about"", ""Empirical Robustness of Pixel Diffusion Undermines Adversarial Perturbation as Prote""]}",{},https://openreview.net/pdf/dff2f5d2d66074839d91ca709fb8a6d98efeeb03.pdf,https://openreview.net/forum?id=mFm8djXVfw,True,iclr2026_papers.json
neurips2025_papers:855,NEURIPS,2025,Mitigating Sexual Content Generation via Embedding Distortion in Text-conditioned Diffusion Models,15,B-Method,adaptive_evaluation;adversarial_core;vision_context,"Diffusion models show remarkable image generation performance following text prompts, but risk generating sexual contents. Existing approaches, such as prompt filtering, concept removal, and even sexual contents mitigation methods, struggle to defend against adversarial attacks while maintaining benign image quality. In this paper, we propose a novel approach called Distorting Embedding Space (DES), a text encoder-based defense mechanism that effectively tackles these issues through innovative embedding space control. DES transforms unsafe embeddings, extracted from a text encoder using unsafe prompts, toward carefully calculated safe embedding regions to prevent unsafe contents generation, while reproducing the original safe embeddings. DES also neutralizes the ``nudity'' embedding, by aligning it with neutral embedding to enhance robustness against adversarial attacks. As a result, extensive experiments on explicit content mitigation and adaptive attack defense show that DES achieves state-of-the-art (SOTA) defense, with attack success rate (ASR) of 9.47\% on FLUX.1, a recent popular model, and 0.52\% on the widely adopted Stable Diffusion v1.5. These correspond to ASR reductions of 76.5\% and 63.9\% compared to previous SOTA methods, EraseAnything and AdvUnlearn, respectively. Furthermore, DES maintains benign image quality, achieving Frechet Inception Distance and CLIP score comparable to those of the original FLUX.1 and Stable Diffusion v1.5.","{""adversarial_core"": [""ontents mitigation methods, struggle to defend against adversarial attacks while maintaining benign image quality. In this paper,"", ""ding, by aligning it with neutral embedding to enhance robustness against adversarial attacks. As a result, extensive experiments on explici""], ""adaptive_evaluation"": [""tensive experiments on explicit content mitigation and adaptive attack defense show that DES achieves state-of-the-art (SOTA)""], ""vision_context"": [""oned Diffusion Models Diffusion models show remarkable image generation performance following text prompts, but ris""]}",{},https://openreview.net/pdf/e2c7ad9c72a34deff0caba0f116c7780d8e9ca1c.pdf,https://openreview.net/forum?id=0LUu5rd0GQ,True,neurips2025_papers.json
cvpr2026_papers:1209,CVPR,2026,No Way To Steal My Face: Proactive Defense Against Identity-Preserving Personalized Generation,14,B-Method,adaptive_evaluation;adversarial_core;vision_context,"Recent advances in diffusion models have enabled high-fidelity, identity-preserving image generation for personalized applications such as digital avatars and virtual try-on systems. However, their reliance on sensitive facial reference images raises growing privacy concerns. Existing defense mechanisms are primarily designed for training-based personalization and struggle to generalize to emerging training-free approaches, due to fundamental differences in their identity integration paradigms. To bridge this gap, we propose $\textbf{IDGuardian}$—the first generalizable and model-agnostic identity protection framework capable of defending against both training-based and training-free personalization methods. IDGuardian abstracts the personalization process into two critical stages: identity extraction and identity injection. It then introduces crafted adversarial perturbations to simultaneously disrupt both stages. Specifically, it degrades the identity features extracted by external encoders and establishes an adversarial conceptual bridge that misdirects the generative trajectory away from the target identity. Extensive experiments show that IDGuardian effectively protects identity across various personalization pipelines and model architectures, while remaining robust to post-processing, adaptive attacks, and cross-dataset generalization.","{""adversarial_core"": [""ion and identity injection. It then introduces crafted adversarial perturbations to simultaneously disrupt both stages. Specifically, i""], ""adaptive_evaluation"": [""hitectures, while remaining robust to post-processing, adaptive attacks, and cross-dataset generalization.""], ""vision_context"": [""models have enabled high-fidelity, identity-preserving image generation for personalized applications such as digit""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Xiong_No_Way_To_Steal_My_Face_Proactive_Defense_Against_Identity-Preserving_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/38095,True,cvpr2026_papers.json
neurips2025_papers:4105,NEURIPS,2025,Non-Adaptive Adversarial Face Generation,14,B-Method,adaptive_evaluation;adversarial_core;vision_context,"Adversarial attacks on face recognition systems (FRSs) pose serious security and privacy threats, especially when these systems are used for identity verification. In this paper, we propose a novel method for generating adversarial faces—synthetic facial images that are visually distinct yet recognized as a target identity by the FRS. Unlike iterative optimization-based approaches (e.g., gradient descent or other iterative solvers), our method leverages the structural characteristics of the FRS feature space. We figure out that individuals sharing the same attribute (e.g., gender or race) form an attributed subsphere. By utilizing such subspheres, our method achieves both non-adaptiveness and a remarkably small number of queries. This eliminates the need for relying on transferability and open-source surrogate models, which have been a typical strategy when repeated adaptive queries to commercial FRSs are impossible. Despite requiring only a single non-adaptive query consisting of 100 face images, our method achieves a high success rate of over 93% against AWS’s CompareFaces API at its default threshold. Furthermore, unlike many existing attacks that perturb a given image, our method can deliberately produce adversarial faces that impersonate the target identity while exhibiting high-level attributes chosen by the adversary.","{""adversarial_core"": [""Non-Adaptive Adversarial Face Generation Adversarial attacks on face recognition systems (FRSs) pose serious securi""], ""adaptive_evaluation"": [""the adversary. adversarial attack face recognition non-adaptive attack""], ""vision_context"": [""thod for generating adversarial faces—synthetic facial images that are visually distinct yet recognized as a target""]}",{},https://openreview.net/pdf/faf5d1e4cb9b5f92713228417573880ee8afdca6.pdf,https://openreview.net/forum?id=VHWmDTYI2O,True,neurips2025_papers.json
cvpr2026_papers:4116,CVPR,2026,RemedyGS: Defend 3D Gaussian Splatting Against Computation Cost Attacks,14,B-Method,adaptive_evaluation;adversarial_core;vision_context,"As a mainstream technique for 3D reconstruction, 3D Gaussian splatting (3DGS) has been applied in a wide range of applications and services. Recent studies have revealed critical vulnerabilities in this pipeline and introduced computation cost attacks that lead to malicious resource occupancies and even denial-of-service (DoS) conditions, thereby hindering the reliable deployment of 3DGS. In this paper, we propose the first effective and comprehensive black-box defense framework, named RemedyGS, against such computation cost attacks, safeguarding 3DGS reconstruction systems and services. Our pipeline comprises two key components: a detector to identify the attacked input images with poisoned textures and a purifier to recover the benign images from their attacked counterparts, mitigating the adverse effects of these attacks. Moreover, we incorporate adversarial training into the purifier to enforce distributional alignment between the recovered and original natural images, thereby enhancing the defense efficacy. Experimental results demonstrate that our framework effectively defends against white-box, black-box, and adaptive attacks in 3DGS systems, achieving state-of-the-art performance in both safety and utility.","{""adversarial_core"": [""rse effects of these attacks. Moreover, we incorporate adversarial training into the purifier to enforce distributional alignment""], ""adaptive_evaluation"": [""effectively defends against white-box, black-box, and adaptive attacks in 3DGS systems, achieving state-of-the-art performanc""], ""vision_context"": [""components: a detector to identify the attacked input images with poisoned textures and a purifier to recover the b""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Li_RemedyGS_Defend_3D_Gaussian_Splatting_Against_Computation_Cost_Attacks_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/37630,True,cvpr2026_papers.json
iclr2026_papers:7582,ICLR,2026,Training-Free Defense Against Adversarial Attacks In Deep Learning MRI Reconstruction,14,B-Method,adaptive_evaluation;adversarial_core;vision_context,"Deep learning (DL) methods have become the state-of-the-art for reconstructing sub-sampled magnetic resonance imaging (MRI) data. However, studies have shown that these methods are susceptible to small adversarial input perturbations, or attacks, resulting in major distortions in the output images. Various strategies have been proposed to reduce the effects of these attacks, but they require retraining and may lower reconstruction quality for non-perturbed/clean inputs. In this work, we propose a novel approach for mitigating adversarial attacks on MRI reconstruction models without any retraining. Based on the idea of cyclic measurement consistency, we devise a novel mitigation objective that is minimized in a small ball around the attack input. Results show that our method substantially reduces the impact of adversarial perturbations across different datasets, attack types/strengths and PD-DL networks, and qualitatively and quantitatively outperforms conventional mitigation methods that involve retraining. We also introduce a practically relevant scenario for small adversarial perturbations that models impulse noise in raw data, which relates to herringbone artifacts, and show the applicability of our approach in this setting. Finally, we show our mitigation approach remains effective in two realistic extension scenarios: a blind setup, where the attack strength or algorithm is not known to the user; and an adaptive attack setup, where the attacker has full knowledge of the defense strategy.","{""adversarial_core"": [""Training-Free Defense Against Adversarial Attacks In Deep Learning MRI Reconstruction Deep learning (DL)""], ""adaptive_evaluation"": [""strength or algorithm is not known to the user; and an adaptive attack setup, where the attacker has full knowledge of the de""], ""vision_context"": [""attacks, resulting in major distortions in the output images. Various strategies have been proposed to reduce the e""]}",{},https://openreview.net/pdf/502767c941f492dd0a41ed2d83b628be2a1b747d.pdf,https://openreview.net/forum?id=vcdMBXeiet,True,iclr2026_papers.json
cvpr2026_papers:284,CVPR,2026,A Combination of Noise and Bilateral Filters Achieve Supralinear and Scalable Adversarial Robustness in CNNs,13,B-Method,adversarial_core;classification_context;evaluation_protocol;vision_context,"The vulnerability of deep neural networks to adversarial examples poses a significant challenge for real-world deployment. Existing techniques to enhance deep network robustness rely on adversarial training, an approach that is powerful but computationally intensive and typically tailored to specific attack types. To address these limitations, existing works have explored techniques such as adding gaussian noise or filtering images, both of which can boost the network robustness to various adversarial attacks, albeit modestly. Here, we theoretically demonstrate that these two approaches enhance robustness against adversarial attacks through complementary mechanisms, resulting in supralinear robustness when combined.Building on this insight, we experimentally show that a simple preprocessor combining Gaussian noise and bilateral filtering yields supralinear improvements in adversarial robustness with minimal computational cost. Next, we combine our preprocessor with adversarial training and test on RobustBench to assess its supralinear improvement over state-of-the-art defenses. First, this combination ranks second on AutoAttack and third overall, while using only $\sim$35\% of the training FLOPs, using a model with 50\% less parametets, trained with $\sim$33\% of the epochs and $\sim$15\% the data compared to state-of-the-art defenses. Second, our method scales efficiently, matching the accuracy of competing models with roughly 2–8× less total compute across $\sim$3 orders of magnitude. Overall, our approach provides a principled and easily integrable framework for enhancing adversarial robustness, offering negligible computational overhead and a simple yet theoretically grounded design.","{""adversarial_core"": [""and Bilateral Filters Achieve Supralinear and Scalable Adversarial Robustness in CNNs The vulnerability of deep neural networks to a"", ""etically demonstrate that these two approaches enhance robustness against adversarial attacks through complementary mechanisms, resulting in"", ""-art defenses. First, this combination ranks second on AutoAttack and third overall, while using only $\\sim$35\\% of the""], ""evaluation_protocol"": [""-art defenses. First, this combination ranks second on AutoAttack and third overall, while using only $\\sim$35\\% of the"", ""our preprocessor with adversarial training and test on RobustBench to assess its supralinear improvement over state-of-th""], ""vision_context"": [""techniques such as adding gaussian noise or filtering images, both of which can boost the network robustness to var""], ""classification_context"": [""eve Supralinear and Scalable Adversarial Robustness in CNNs The vulnerability of deep neural networks to adversari""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Stalder_A_Combination_of_Noise_and_Bilateral_Filters_Achieve_Supralinear_and_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/37609,True,cvpr2026_papers.json
icml2024_papers:122,ICML,2024,Adversarial Robustness Limits via Scaling-Law and Human-Alignment Studies,13,B-Method,adversarial_core;classification_context;evaluation_protocol;vision_context,"This paper revisits the simple, long-studied, yet still unsolved problem of making image classifiers robust to imperceptible perturbations. Taking CIFAR10 as an example, SOTA clean accuracy is about $100$%, but SOTA robustness to $\ell_{\infty}$-norm bounded perturbations barely exceeds $70$%. To understand this gap, we analyze how model size, dataset size, and synthetic data quality affect robustness by developing the first scaling laws for adversarial training. Our scaling laws reveal inefficiencies in prior art and provide actionable feedback to advance the field. For instance, we discovered that SOTA methods diverge notably from compute-optimal setups, using excess compute for their level of robustness. Leveraging a compute-efficient setup, we surpass the prior SOTA with $20$% ($70$%) fewer training (inference) FLOPs. We trained various compute-efficient models, with our best achieving $74$% AutoAttack accuracy ($+3$% gain). However, our scaling laws also predict robustness slowly grows then plateaus at $90$%: dwarfing our new SOTA by scaling is impractical, and perfect robustness is impossible. To better understand this predicted limit, we carry out a small-scale human evaluation on the AutoAttack data that fools our top-performing model. Concerningly, we estimate that human performance also plateaus near $90$%, which we show to be attributable to $\ell_{\infty}$-constrained attacks’ generation of invalid images not consistent with their original labels. Having characterized limiting roadblocks, we outline promising paths for future research.","{""adversarial_core"": [""Adversarial Robustness Limits via Scaling-Law and Human-Alignment Studies Thi"", ""ompute-efficient models, with our best achieving $74$% AutoAttack accuracy ($+3$% gain). However, our scaling laws also""], ""evaluation_protocol"": [""ompute-efficient models, with our best achieving $74$% AutoAttack accuracy ($+3$% gain). However, our scaling laws also""], ""vision_context"": [""le, long-studied, yet still unsolved problem of making image classifiers robust to imperceptible perturbations. Tak"", ""ssifiers robust to imperceptible perturbations. Taking CIFAR10 as an example, SOTA clean accuracy is about $100$%, bu""], ""classification_context"": [""le, long-studied, yet still unsolved problem of making image classifiers robust to imperceptible perturbations. Taking CIFAR10"", ""ssifiers robust to imperceptible perturbations. Taking CIFAR10 as an example, SOTA clean accuracy is about $100$%, bu""]}",{},https://raw.githubusercontent.com/mlresearch/v235/main/assets/bartoldson24a/bartoldson24a.pdf,,True,icml2024_papers.json
icml2024_papers:723,ICML,2024,Be Your Own Neighborhood: Detecting Adversarial Examples by the Neighborhood Relations Built on Self-Supervised Learning,13,B-Method,adaptive_evaluation;adversarial_core,"Deep Neural Networks (DNNs) are vulnerable to Adversarial Examples (AEs), hindering their use in safety-critical systems. In this paper, we presentBEYOND, an innovative AE detection framework designed for reliable predictions. BEYOND identifies AEs by distinguishing the AE’s abnormal relation with its augmented versions, i.e. neighbors, from two prospects: representation similarity and label consistency. An off-the-shelf Self-Supervised Learning (SSL) model is used to extract the representation and predict the label for its highly informative representation capacity compared to supervised learning models. We found clean samples maintain a high degree of representation similarity and label consistency relative to their neighbors, in contrast to AEs which exhibit significant discrepancies. We explain this observation and show that leveraging this discrepancy BEYOND can accurately detect AEs. Additionally, we develop a rigorous justification for the effectiveness of BEYOND. Furthermore, as a plug-and-play model, BEYOND can easily cooperate with the Adversarial Trained Classifier (ATC), achieving state-of-the-art (SOTA) robustness accuracy. Experimental results show that BEYOND outperforms baselines by a large margin, especially under adaptive attacks. Empowered by the robust relationship built on SSL, we found that BEYOND outperforms baselines in terms of both detection ability and speed. Project page: https://huggingface.co/spaces/allenhzy/Be-Your-Own-Neighborhood.","{""adversarial_core"": [""Be Your Own Neighborhood: Detecting Adversarial Examples by the Neighborhood Relations Built on Self-Supervised""], ""adaptive_evaluation"": [""performs baselines by a large margin, especially under adaptive attacks. Empowered by the robust relationship built on SSL, we""]}",{},https://raw.githubusercontent.com/mlresearch/v235/main/assets/he24l/he24l.pdf,,True,icml2024_papers.json
