paper_id,venue,year,title,score,tier,matched_groups,abstract,evidence,penalties,pdf,url,has_abstract,source_file
cvpr2026_papers:1209,CVPR,2026,No Way To Steal My Face: Proactive Defense Against Identity-Preserving Personalized Generation,14,B-Method,adaptive_evaluation;adversarial_core;vision_context,"Recent advances in diffusion models have enabled high-fidelity, identity-preserving image generation for personalized applications such as digital avatars and virtual try-on systems. However, their reliance on sensitive facial reference images raises growing privacy concerns. Existing defense mechanisms are primarily designed for training-based personalization and struggle to generalize to emerging training-free approaches, due to fundamental differences in their identity integration paradigms. To bridge this gap, we propose $\textbf{IDGuardian}$—the first generalizable and model-agnostic identity protection framework capable of defending against both training-based and training-free personalization methods. IDGuardian abstracts the personalization process into two critical stages: identity extraction and identity injection. It then introduces crafted adversarial perturbations to simultaneously disrupt both stages. Specifically, it degrades the identity features extracted by external encoders and establishes an adversarial conceptual bridge that misdirects the generative trajectory away from the target identity. Extensive experiments show that IDGuardian effectively protects identity across various personalization pipelines and model architectures, while remaining robust to post-processing, adaptive attacks, and cross-dataset generalization.","{""adversarial_core"": [""ion and identity injection. It then introduces crafted adversarial perturbations to simultaneously disrupt both stages. Specifically, i""], ""adaptive_evaluation"": [""hitectures, while remaining robust to post-processing, adaptive attacks, and cross-dataset generalization.""], ""vision_context"": [""models have enabled high-fidelity, identity-preserving image generation for personalized applications such as digit""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Xiong_No_Way_To_Steal_My_Face_Proactive_Defense_Against_Identity-Preserving_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/38095,True,cvpr2026_papers.json
cvpr2026_papers:4116,CVPR,2026,RemedyGS: Defend 3D Gaussian Splatting Against Computation Cost Attacks,14,B-Method,adaptive_evaluation;adversarial_core;vision_context,"As a mainstream technique for 3D reconstruction, 3D Gaussian splatting (3DGS) has been applied in a wide range of applications and services. Recent studies have revealed critical vulnerabilities in this pipeline and introduced computation cost attacks that lead to malicious resource occupancies and even denial-of-service (DoS) conditions, thereby hindering the reliable deployment of 3DGS. In this paper, we propose the first effective and comprehensive black-box defense framework, named RemedyGS, against such computation cost attacks, safeguarding 3DGS reconstruction systems and services. Our pipeline comprises two key components: a detector to identify the attacked input images with poisoned textures and a purifier to recover the benign images from their attacked counterparts, mitigating the adverse effects of these attacks. Moreover, we incorporate adversarial training into the purifier to enforce distributional alignment between the recovered and original natural images, thereby enhancing the defense efficacy. Experimental results demonstrate that our framework effectively defends against white-box, black-box, and adaptive attacks in 3DGS systems, achieving state-of-the-art performance in both safety and utility.","{""adversarial_core"": [""rse effects of these attacks. Moreover, we incorporate adversarial training into the purifier to enforce distributional alignment""], ""adaptive_evaluation"": [""effectively defends against white-box, black-box, and adaptive attacks in 3DGS systems, achieving state-of-the-art performanc""], ""vision_context"": [""components: a detector to identify the attacked input images with poisoned textures and a purifier to recover the b""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Li_RemedyGS_Defend_3D_Gaussian_Splatting_Against_Computation_Cost_Attacks_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/37630,True,cvpr2026_papers.json
cvpr2026_papers:284,CVPR,2026,A Combination of Noise and Bilateral Filters Achieve Supralinear and Scalable Adversarial Robustness in CNNs,13,B-Method,adversarial_core;classification_context;evaluation_protocol;vision_context,"The vulnerability of deep neural networks to adversarial examples poses a significant challenge for real-world deployment. Existing techniques to enhance deep network robustness rely on adversarial training, an approach that is powerful but computationally intensive and typically tailored to specific attack types. To address these limitations, existing works have explored techniques such as adding gaussian noise or filtering images, both of which can boost the network robustness to various adversarial attacks, albeit modestly. Here, we theoretically demonstrate that these two approaches enhance robustness against adversarial attacks through complementary mechanisms, resulting in supralinear robustness when combined.Building on this insight, we experimentally show that a simple preprocessor combining Gaussian noise and bilateral filtering yields supralinear improvements in adversarial robustness with minimal computational cost. Next, we combine our preprocessor with adversarial training and test on RobustBench to assess its supralinear improvement over state-of-the-art defenses. First, this combination ranks second on AutoAttack and third overall, while using only $\sim$35\% of the training FLOPs, using a model with 50\% less parametets, trained with $\sim$33\% of the epochs and $\sim$15\% the data compared to state-of-the-art defenses. Second, our method scales efficiently, matching the accuracy of competing models with roughly 2–8× less total compute across $\sim$3 orders of magnitude. Overall, our approach provides a principled and easily integrable framework for enhancing adversarial robustness, offering negligible computational overhead and a simple yet theoretically grounded design.","{""adversarial_core"": [""and Bilateral Filters Achieve Supralinear and Scalable Adversarial Robustness in CNNs The vulnerability of deep neural networks to a"", ""etically demonstrate that these two approaches enhance robustness against adversarial attacks through complementary mechanisms, resulting in"", ""-art defenses. First, this combination ranks second on AutoAttack and third overall, while using only $\\sim$35\\% of the""], ""evaluation_protocol"": [""-art defenses. First, this combination ranks second on AutoAttack and third overall, while using only $\\sim$35\\% of the"", ""our preprocessor with adversarial training and test on RobustBench to assess its supralinear improvement over state-of-th""], ""vision_context"": [""techniques such as adding gaussian noise or filtering images, both of which can boost the network robustness to var""], ""classification_context"": [""eve Supralinear and Scalable Adversarial Robustness in CNNs The vulnerability of deep neural networks to adversari""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Stalder_A_Combination_of_Noise_and_Bilateral_Filters_Achieve_Supralinear_and_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/37609,True,cvpr2026_papers.json
cvpr2026_papers:506,CVPR,2026,Learning Mutual View Information Graph for Adaptive Adversarial Collaborative Perception,13,B-Method,adaptive_evaluation;adversarial_core,"Collaborative perception (CP) enables data sharing among connected and autonomous vehicles (CAVs) to enhance driving safety. However, CP systems are vulnerable to adversarial attacks where malicious agents forge false objects via feature-level perturbations. Current defensive systems use threshold-based consensus verification by comparing collaborative and ego detection results. Yet, these defenses remain vulnerable to more sophisticated attack strategies that could exploit two critical weaknesses: (i) lack of robustness against attacks with systematic timing and target region optimization, and (ii) inadvertent disclosure of vulnerability knowledge through implicit confidence information in shared collaboration data. In this paper, we propose MVIG attack, a novel adaptive adversarial CP framework learning to capture vulnerability knowledge disclosed by different defensive CP systems from a unified mutual view information graph (MVIG) representation. Our approach combines MVIG representation with temporal graph learning to generate evolving fabrication risk maps and employs entropy-aware vulnerability search to optimize attack location, timing and persistence, enabling adaptive attacks with generalizability across various defensive configurations. Extensive evaluations on OPV2V and Adv-OPV2V datasets demonstrate that MVIG attack reduces defense success rates by up to 62\% against state-of-the-art defenses while achieving 47\% lower detection for persistent attacks at 29.9 FPS, exposing critical security gaps in CP systems.","{""adversarial_core"": [""driving safety. However, CP systems are vulnerable to adversarial attacks where malicious agents forge false objects via feature""], ""adaptive_evaluation"": [""mize attack location, timing and persistence, enabling adaptive attacks with generalizability across various defensive configu""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Tao_Learning_Mutual_View_Information_Graph_for_Adaptive_Adversarial_Collaborative_Perception_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/37883,True,cvpr2026_papers.json
cvpr2026_papers:887,CVPR,2026,Towards Highly Transferable Vision-Language Attack via Semantic-Augmented Dynamic Contrastive Interaction,13,A-Core,adversarial_core;input_transform_compression;vision_context,"With the rapid advancement and widespread application of vision-language pre-training (VLP) models, their vulnerability to adversarial attacks has become a critical concern. In general, the adversarial examples can typically be designed to exhibit transferable power, attacking not only different models but also across diverse tasks.However, existing attacks on language-vision models mainly rely on static cross-modal interactions and focus solely on disrupting positive image-text pairs, resulting in limited cross-modal disruption and poor transferability.To address this issue, we propose a Semantic-Augmented Dynamic Contrastive Attack (SADCA) that enhances adversarial transferability through progressive and semantically guided perturbation.SADCA progressively disrupts cross-modal alignment through dynamic interactions between adversarial images and texts.This is accomplished by SADCA establishing a contrastive learning mechanism involving adversarial, positive and negative samples, to reinforce the semantic inconsistency of the obtained perturbations.Moreover, we empirically find that input transformations commonly used in traditional transfer-based attacks also benefit VLPs, which motivates a semantic augmentation module that increases the diversity and generalization of adversarial examples.Extensive experiments on multiple datasets and models demonstrate that SADCA significantly improves adversarial transferability and consistently surpasses state-of-the-art methods.The code will be released here.","{""adversarial_core"": [""uage pre-training (VLP) models, their vulnerability to adversarial attacks has become a critical concern. In general, the adversa""], ""input_transform_compression"": [""ained perturbations.Moreover, we empirically find that input transformations commonly used in traditional transfer-based attacks al""], ""vision_context"": [""l interactions and focus solely on disrupting positive image-text pairs, resulting in limited cross-modal disruptio"", ""Towards Highly Transferable Vision-Language Attack via Semantic-Augmented Dynamic Contras""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Li_Towards_Highly_Transferable_Vision-Language_Attack_via_Semantic-Augmented_Dynamic_Contrastive_Interaction_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/38724,True,cvpr2026_papers.json
cvpr2026_papers:1037,CVPR,2026,Robustness Under Data Scarcity: Few-Shot Continual Adversarial Training for Evolving Threats,11,C-Foundation,adversarial_core;classification_context;vision_context,"Deep learning models remain highly vulnerable to evolving adversarial attacks. While existing continual adversarial training approaches often assume abundant adversarial data at each stage, real-world scenarios frequently involve limited data availability. This paper addresses the setting of Few-shot Continual Adversarial Training, where only a small number of adversarial examples are available per stage, presenting major challenges in achieving robust generalization and mitigating catastrophic forgetting. To tackle these challenges, we propose a novel continual adversarial training framework that incorporates three key components: (i) an Adversarial Margin loss that explicitly pushes clean samples away from decision boundaries to enhance feature discrimination; (ii) a Gaussian mixture model Prototype Replay strategy that synthesizes representative pseudo-features to preserve knowledge of past adversarial domains; and (iii) a Multi-Domain Balanced loss that guides updates to stabilize learning across diverse attack distributions. Extensive experiments on ImageNet-1K and CIFAR-100 demonstrate that our approach consistently outperforms state-of-the-art methods in both clean and robust accuracy across a variety of adversarial settings. The code will be released.","{""adversarial_core"": [""Robustness Under Data Scarcity: Few-Shot Continual Adversarial Training for Evolving Threats Deep learning models remain highl"", ""outperforms state-of-the-art methods in both clean and robust accuracy across a variety of adversarial settings. The code wil""], ""vision_context"": [""istributions. Extensive experiments on ImageNet-1K and CIFAR-100 demonstrate that our approach consistently outperforms"", ""diverse attack distributions. Extensive experiments on ImageNet-1K and CIFAR-100 demonstrate that our approach consist""], ""classification_context"": [""istributions. Extensive experiments on ImageNet-1K and CIFAR-100 demonstrate that our approach consistently outperforms"", ""diverse attack distributions. Extensive experiments on ImageNet-1K and CIFAR-100 demonstrate that our approach consist"", ""outperforms state-of-the-art methods in both clean and robust accuracy across a variety of adversarial settings. The code wil""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Wang_Robustness_Under_Data_Scarcity_Few-Shot_Continual_Adversarial_Training_for_Evolving_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/36533,True,cvpr2026_papers.json
cvpr2026_papers:1447,CVPR,2026,DASH: A Meta-Attack Framework for Synthesizing Effective and Stealthy Adversarial Examples,10,C-Foundation,adversarial_core;classification_context;vision_context,"Numerous techniques have been proposed for generating adversarial examples under strict $\ \ell_p \$-norm constraints. However, such norm-bounded examples often fail to align well with human perception, and only recently have a few methods begun specifically exploring perceptually aligned adversarial examples. Moreover, it remains unclear whether insights from $\ \ell_p \$-constrained attacks can be effectively leveraged to improve perceptual efficacy. In this paper, we introduce DASH, a differentiable meta-attack framework that generates effective and perceptually aligned adversarial examples by strategically composing existing $\ \ell_p \$-based attack methods. DASH operates in a multi-stage fashion: at each stage, it aggregates candidate adversarial examples from multiple base attacks using learned, adaptive weights and propagates the result to the next stage. A novel meta-loss function guides this process by jointly minimizing misclassification loss and perceptual distortion, enabling the framework to dynamically modulate the contribution of each base attack throughout the stages. We evaluate DASH on adversarially trained robust models across CIFAR-10, CIFAR-100, and ImageNet while considering visual perception metrics (e.g. SSIM, FID, LPIPS) in the perturbation budget (instead of $\ \ell_p \$-norm). Despite relying solely on $\ \ell_p \$-constrained based methods, DASH significantly outperforms state-of-the-art perceptual attacks such as AdvAD, achieving higher attack success rates (e.g., 20.63\% improvement) and superior visual quality, as measured by SSIM, LPIPS, and FID (improvements of $\approx11$, 0.015, and 5.7, respectively). DASH generalizes well to unseen defenses and different white-box/black-box scenarios, making it a practical and strong baseline for evaluating robustness.","{""adversarial_core"": [""tack Framework for Synthesizing Effective and Stealthy Adversarial Examples Numerous techniques have been proposed for generating""], ""vision_context"": [""ss CIFAR-10, CIFAR-100, and ImageNet while considering visual perception metrics (e.g. SSIM, FID, LPIPS) in the pert"", ""ate DASH on adversarially trained robust models across CIFAR-10, CIFAR-100, and ImageNet while considering visual perc"", ""trained robust models across CIFAR-10, CIFAR-100, and ImageNet while considering visual perception metrics (e.g. SSIM""], ""classification_context"": [""ate DASH on adversarially trained robust models across CIFAR-10, CIFAR-100, and ImageNet while considering visual perc"", ""trained robust models across CIFAR-10, CIFAR-100, and ImageNet while considering visual perception metrics (e.g. SSIM""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Al_Nomaan_Nafi_DASH_A_Meta-Attack_Framework_for_Synthesizing_Effective_and_Stealthy_Adversarial_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/40017,True,cvpr2026_papers.json
cvpr2026_papers:777,CVPR,2026,A Provable Energy-Guided Test-Time Defense Boosting Adversarial Robustness of Large Vision-Language Models,9,C-Foundation,adversarial_core;vision_context,"Despite the rapid progress in multimodal models and Large Visual-Language Models (LVLM), they remain highly susceptible to adversarial perturbations, raising serious concerns about their reliability in real-world use. While adversarial training has become the leading paradigm for building models that are robust to adversarial attacks, Test-Time Transformations (TTT) have emerged as a promising strategy to boost robustness at inference.In light of this, we proposeEnergy-Guided Test-Time Transformation (ET3), a lightweight, training-free defense that enhances the robustness by minimizing the energy of the input samples.Our method is grounded in a theory that proves our transformation succeeds in classification under reasonable assumptions. We present extensive experiments demonstrating that ET3 provides a strong defense for classifiers, zero-shot classification with CLIP, and also for boosting the robustness of LVLMs in tasks such as Image Captioning and Visual Question Answering. Code will be released upon acceptance of the paper.","{""adversarial_core"": [""A Provable Energy-Guided Test-Time Defense Boosting Adversarial Robustness of Large Vision-Language Models Despite the rapid prog"", ""come the leading paradigm for building models that are robust to adversarial attacks, Test-Time Transformations (TTT) have emerged""], ""vision_context"": [""for boosting the robustness of LVLMs in tasks such as Image Captioning and Visual Question Answering. Code will be"", ""-Time Defense Boosting Adversarial Robustness of Large Vision-Language Models Despite the rapid progress in multimod"", ""pite the rapid progress in multimodal models and Large Visual-Language Models (LVLM), they remain highly susceptible""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Mirza_A_Provable_Energy-Guided_Test-Time_Defense_Boosting_Adversarial_Robustness_of_Large_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/37688,True,cvpr2026_papers.json
cvpr2026_papers:4518,CVPR,2026,"Your Classifier Can Do More: Towards Balancing the Gaps in Classification, Robustness, and Generation",9,C-Foundation,adversarial_core;classification_context;vision_context,"Joint Energy-based Models (JEMs) are well known for their ability to unify classification and generation within a single framework. Despite their promising generative and discriminative performance, their robustness remains far inferior to adversarial training (AT), which, conversely, achieves strong robustness but sacrifices clean accuracy and lacks generative ability. This inherent trilemma—balancing classification accuracy, robustness, and generative capability—raises a fundamental question: \textit{Can a single model achieve all three simultaneously?} To answer this, we conduct a systematic energy landscape analysis of clean, adversarial, and generated samples across various JEM and AT variants. We observe that AT reduces the energy gap between clean and adversarial samples, while JEMs narrow the gap between clean and synthetic ones. This observation suggests a key insight: if the energy distributions of all three data types can be aligned, we might bridge their performance disparities. Building on this idea, we propose Energy-based Joint Distribution Adversarial Training (EB-JDAT), a unified generative-discriminative-robust framework that maximizes the joint probability of clean and adversarial distribution. EB-JDAT introduces a novel min–max energy optimization to explicitly aligning energies across clean, adversarial, and generated samples. Extensive experiments on CIFAR-10, CIFAR-100, and ImageNet subsets demonstrate that EB-JDAT achieves state-of-the-art robustness while maintaining near-original accuracy and generation quality of JEMs, effectively resolving the triple trade-off between accuracy, robustness, and generation.","{""adversarial_core"": [""performance, their robustness remains far inferior to adversarial training (AT), which, conversely, achieves strong robustness bu""], ""vision_context"": [""arial, and generated samples. Extensive experiments on CIFAR-10, CIFAR-100, and ImageNet subsets demonstrate that EB-J"", ""les. Extensive experiments on CIFAR-10, CIFAR-100, and ImageNet subsets demonstrate that EB-JDAT achieves state-of-the""], ""classification_context"": [""arial, and generated samples. Extensive experiments on CIFAR-10, CIFAR-100, and ImageNet subsets demonstrate that EB-J"", ""les. Extensive experiments on CIFAR-10, CIFAR-100, and ImageNet subsets demonstrate that EB-JDAT achieves state-of-the""]}",{},https://openaccess.thecvf.com/content/CVPR2026/papers/Jiang_Your_Classifier_Can_Do_More_Towards_Balancing_the_Gaps_in_CVPR_2026_paper.pdf,https://cvpr.thecvf.com/virtual/2026/poster/36867,True,cvpr2026_papers.json
cvpr2026_papers:243,CVPR,2026,AGFT: Alignment-Guided Fine-Tuning for Zero-Shot Adversarial Robustness of Vision-Language Models,8,C-Foundation,adversarial_core;vision_context,"Pre-trained vision-language models (VLMs) have exhibited exceptional generalization capabilities in zero-shot tasks, yet remain vulnerable to adversarial examples. Conventional classification-guided adversarial fine-tuning often compromises the pre-trained cross-modal alignment, undermining the intricate visual-textual correspondence essential for zero-shot performance. To mitigate this, we introduce Alignment-Guided Fine-Tuning (AGFT), a novel framework that preserves semantic integrity while enhancing robustness. AGFT leverages the output distribution of pre-trained VLMs as the fine-tuning objective, thereby maintaining cross-modal semantic correspondence. Recognizing the divergence in feature alignment objectives between pre-trained and robust models, we further calibrate the output distribution by attenuating cross-modal feature similarity of robust models, all while safeguarding correspondence across images and diverse textual descriptions. This calibration ensures compatibility with robust feature representation without sacrificing generalization. Comprehensive experiments across diverse zero-shot datasets and settings demonstrate that AGFT achieves state-of-the-art performance, significantly improving the zero-shot adversarial robustness.","{""adversarial_core"": [""AGFT: Alignment-Guided Fine-Tuning for Zero-Shot Adversarial Robustness of Vision-Language Models Pre-trained vision-language""], ""vision_context"": [""t models, all while safeguarding correspondence across images and diverse textual descriptions. This calibration ens"", ""ed Fine-Tuning for Zero-Shot Adversarial Robustness of Vision-Language Models Pre-trained vision-language models (VL"", ""ained cross-modal alignment, undermining the intricate visual-textual correspondence essential for zero-shot perform""]}",{},,https://cvpr.thecvf.com/virtual/2026/poster/39969,True,cvpr2026_papers.json
