paper_id,venue,year,title,score,tier,matched_groups,abstract,evidence,penalties,pdf,url,has_abstract,source_file
icml2025_papers:1952,ICML,2025,CAT: Contrastive Adversarial Training for Evaluating the Robustness of Protective Perturbations in Latent Diffusion Models,17,B-Method,adaptive_evaluation;adversarial_core;consistency_alignment;vision_context,"Latent diffusion models have recently demonstrated superior capabilities in many downstream image synthesis tasks. However, customization of latent diffusion models using unauthorized data can severely compromise the privacy and intellectual property rights of data owners. Adversarial examples as protective perturbations have been developed to defend against unauthorized data usage by introducing imperceptible noise to customization samples, preventing diffusion models from effectively learning them. In this paper, we first reveal that the primary reason adversarial examples are effective as protective perturbations in latent diffusion models is the distortion of their latent representations, as demonstrated through qualitative and quantitative experiments. We then propose the Contrastive Adversarial Training (CAT) utilizing lightweight adapters as an adaptive attack against these protection methods, highlighting their lack of robustness. Extensive experiments demonstrate that our CAT method significantly reduces the effectiveness of protective perturbations in customization, urging the community to reconsider and improve the robustness of existing protective perturbations. The code is available at https://github.com/senp98/CAT.","{""adversarial_core"": [""CAT: Contrastive Adversarial Training for Evaluating the Robustness of Protective Perturbati""], ""adaptive_evaluation"": [""al Training (CAT) utilizing lightweight adapters as an adaptive attack against these protection methods, highlighting their l""], ""consistency_alignment"": [""CAT: Contrastive Adversarial Training for Evaluating the Robustness of Protective Perturbati""], ""vision_context"": [""demonstrated superior capabilities in many downstream image synthesis tasks. However, customization of latent diff""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/peng25e/peng25e.pdf,,True,icml2025_papers.json
icml2025_papers:1943,ICML,2025,Diffusion-based Adversarial Purification from the Perspective of the Frequency Domain,13,A-Core,adversarial_core;input_transform_compression;vision_context,"The diffusion-based adversarial purification methods attempt to drown adversarial perturbations into a part of isotropic noise through the forward process, and then recover the clean images through the reverse process. Due to the lack of distribution information about adversarial perturbations in the pixel domain, it is often unavoidable to damage normal semantics. We turn to the frequency domain perspective, decomposing the image into amplitude spectrum and phase spectrum. We find that for both spectra, the damage caused by adversarial perturbations tends to increase monotonically with frequency. This means that we can extract the content and structural information of the original clean sample from the frequency components that are less damaged. Meanwhile, theoretical analysis indicates that existing purification methods indiscriminately damage all frequency components, leading to excessive damage to the image. Therefore, we propose a purification method that can eliminate adversarial perturbations while maximizing the preservation of the content and structure of the original image. Specifically, at each time step during the reverse process, for the amplitude spectrum, we replace the low-frequency components of the estimated image’s amplitude spectrum with the corresponding parts of the adversarial image. For the phase spectrum, we project the phase of the estimated image into a designated range of the adversarial image’s phase spectrum, focusing on the low frequencies. Empirical evidence from extensive experiments demonstrates that our method significantly outperforms most current defense methods.","{""adversarial_core"": [""ased adversarial purification methods attempt to drown adversarial perturbations into a part of isotropic noise through the forward pro""], ""input_transform_compression"": [""Diffusion-based Adversarial Purification from the Perspective of the Frequency Domain The diffu""], ""vision_context"": [""hrough the forward process, and then recover the clean images through the reverse process. Due to the lack of distri"", ""ion information about adversarial perturbations in the pixel domain, it is often unavoidable to damage normal seman""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/pei25b/pei25b.pdf,,True,icml2025_papers.json
icml2025_papers:283,ICML,2025,LEVIS: Large Exact Verifiable Input Spaces for Neural Networks,11,B-Method,adversarial_core;classification_context;evaluation_protocol;vision_context,"The robustness of neural networks is crucial in safety-critical applications, where identifying a reliable input space is essential for effective model selection, robustness evaluation, and the development of reliable control strategies. Most existing robustness verification methods assess the worst-case output under the assumption that the input space is known. However, precisely identifying a verifiable input space $ \mathcal{C} $, where no adversarial examples exist, is challenging due to the possible high dimensionality, discontinuity, and non-convex nature of the input space. To address this challenge, we propose a novel framework,LEVIS, comprisingLEVIS-$\alpha$andLEVIS-$\beta$.LEVIS-$\alpha$identifies a single, large verifiable ball that intersects at least two boundaries of a bounded region $ \mathcal{C} $, whileLEVIS-$\beta$systematically captures the entirety of the verifiable space by integrating multiple verifiable balls. Our contributions are fourfold: we introduce a verification framework,LEVIS, incorporating two optimization techniques for computing nearest and directional adversarial points based on mixed-integer programming (MIP); to enhance scalability, we integrate complementary constrained (CC) optimization with a reduced MIP formulation, achieving up to a 17-fold reduction in runtime by approximating the verifiable region in a principled way; we provide a theoretical analysis characterizing the properties of the verifiable balls obtained throughLEVIS-$\alpha$; and we validate our approach across diverse applications, including electrical power flow regression and image classification, demonstrating performance improvements and visualizing the geometric properties of the verifiable region.","{""adversarial_core"": [""ing a verifiable input space $ \\mathcal{C} $, where no adversarial examples exist, is challenging due to the possible high dimensi""], ""evaluation_protocol"": [""nput space is essential for effective model selection, robustness evaluation, and the development of reliable control strategies. M""], ""vision_context"": [""ations, including electrical power flow regression and image classification, demonstrating performance improvements"", ""ations, including electrical power flow regression and image classification, demonstrating performance improvements and visualizin""], ""classification_context"": [""ations, including electrical power flow regression and image classification, demonstrating performance improvements and visualizin""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/chehade25b/chehade25b.pdf,,True,icml2025_papers.json
icml2025_papers:3046,ICML,2025,"One Stone, Two Birds: Enhancing Adversarial Defense Through the Lens of Distributional Discrepancy",11,C-Foundation,adversarial_core;classification_context;vision_context,"Statistical adversarial data detection(SADD) detects whether an upcoming batch containsadversarial examples(AEs) by measuring the distributional discrepancies betweenclean examples(CEs) and AEs. In this paper, we explore the strength of SADD-based methods by theoretically showing that minimizing distributional discrepancy can help reduce the expected loss on AEs. Despite these advantages, SADD-based methods have a potential limitation: they discard inputs that are detected as AEs, leading to the loss of clean information within those inputs. To address this limitation, we propose a two-pronged adversarial defense method, namedDistributional-discrepancy-basedAdversarialDefense (DAD). In the training phase, DAD first optimizes the test power of themaximum mean discrepancy(MMD) to derive MMD-OPT, which isa stone that kills two birds. MMD-OPT first serves as aguiding signalto minimize the distributional discrepancy between CEs and AEs to train a denoiser. Then, it serves as adiscriminatorto differentiate CEs and AEs during inference. Overall, in the inference stage, DAD consists of a two-pronged process: (1) directly feeding the detected CEs into the classifier, and (2) removing noise from the detected AEs by the distributional-discrepancy-based denoiser. Extensive experiments show that DAD outperforms currentstate-of-the-art(SOTA) defense methods bysimultaneouslyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box attacks. Codes are publicly available at: https://github.com/tmlr-group/DAD.","{""adversarial_core"": [""One Stone, Two Birds: Enhancing Adversarial Defense Through the Lens of Distributional Discrepancy Statist"", ""A) defense methods bysimultaneouslyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box""], ""vision_context"": [""bysimultaneouslyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box attacks. Co"", ""slyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box attacks. Codes are publi""], ""classification_context"": [""bysimultaneouslyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box attacks. Co"", ""slyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box attacks. Codes are publi"", ""A) defense methods bysimultaneouslyimproving clean and robust accuracy on CIFAR-10 and ImageNet-1K against adaptive white-box""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25bn/zhang25bn.pdf,,True,icml2025_papers.json
icml2025_papers:574,ICML,2025,Not All Wrong is Bad: Using Adversarial Examples for Unlearning,10,C-Foundation,adversarial_core;classification_context;vision_context,"Machine unlearning, where users can request the deletion of a forget dataset, is becoming increasingly important because of numerous privacy regulations. Initial works on ""exact” unlearning (e.g., retraining) incur large computational overheads. However, while computationally inexpensive, ""approximate” methods have fallen short of reaching the effectiveness of exact unlearning: models produced fail to obtain comparable accuracy and prediction confidence on both the forget and test (i.e., unseen) dataset. Exploiting this observation, we propose a new unlearning method, Adversarial Machine UNlearning (AMUN), that outperforms prior state-of-the-art (SOTA) methods for image classification. AMUN lowers the confidence of the model on the forget samples by fine-tuning the model on their corresponding adversarial examples. Adversarial examples naturally belong to the distribution imposed by the model on the input space; fine-tuning the model on the adversarial examples closest to the corresponding forget samples (a) localizes the changes to the decision boundary of the model around each forget sample and (b) avoids drastic changes to the global behavior of the model, thereby preserving the model’s accuracy on test samples. Using AMUN for unlearning a random 10% of CIFAR-10 samples, we observe that even SOTA membership inference attacks cannot do better than random guessing.","{""adversarial_core"": [""Not All Wrong is Bad: Using Adversarial Examples for Unlearning Machine unlearning, where users can req""], ""vision_context"": [""outperforms prior state-of-the-art (SOTA) methods for image classification. AMUN lowers the confidence of the mode"", ""est samples. Using AMUN for unlearning a random 10% of CIFAR-10 samples, we observe that even SOTA membership inferenc"", ""outperforms prior state-of-the-art (SOTA) methods for image classification. AMUN lowers the confidence of the model on the forget""], ""classification_context"": [""outperforms prior state-of-the-art (SOTA) methods for image classification. AMUN lowers the confidence of the model on the forget"", ""est samples. Using AMUN for unlearning a random 10% of CIFAR-10 samples, we observe that even SOTA membership inferenc""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/ebrahimpour-boroojeny25a/ebrahimpour-boroojeny25a.pdf,,True,icml2025_papers.json
icml2025_papers:1912,ICML,2025,Adversarial Perturbations Are Formed by Iteratively Learning Linear Combinations of the Right Singular Vectors of the Adversarial Jacobian,9,C-Foundation,adversarial_core;classification_context;vision_context,"White-box targeted adversarial attacks reveal core vulnerabilities in Deep Neural Networks (DNNs), yet two key challenges persist: (i) How many target classes can be attacked simultaneously in a specified order, known as theordered top-$K$ attackproblem ($K \geq 1$)? (ii) How to compute the corresponding adversarial perturbations for a given benign image directly in the image space? We address both by showing thatordered top-$K$ perturbations can be learned via iteratively optimizing linear combinations of the $\underline{ri}ght\text{ } \underline{sing}ular$ vectors of the adversarial Jacobian(i.e., the logit-to-image Jacobian constrained by target ranking). These vectors span an orthogonal, informative subspace in the image domain. We introduceRisingAttacK, a novel Sequential Quadratic Programming (SQP)-based method that exploits this structure. We propose a holistic figure-of-merits (FoM) metric combining attack success rates (ASRs) and $\ell_p$-norms ($p=1,2,\infty$). Extensive experiments on ImageNet-1k across six ordered top-$K$ levels ($K=1, 5, 10, 15, 20, 25, 30$) and four models (ResNet-50, DenseNet-121, ViT-B, DEiT-B) show RisingAttacK consistently surpasses the state-of-the-art QuadAttacK.","{""adversarial_core"": [""Adversarial Perturbations Are Formed by Iteratively Learning Linear Combinations""], ""vision_context"": [""esponding adversarial perturbations for a given benign image directly in the image space? We address both by showin"", ""ll_p$-norms ($p=1,2,\\infty$). Extensive experiments on ImageNet-1k across six ordered top-$K$ levels ($K=1, 5, 10, 15,""], ""classification_context"": [""levels ($K=1, 5, 10, 15, 20, 25, 30$) and four models (ResNet-50, DenseNet-121, ViT-B, DEiT-B) show RisingAttacK con"", ""ll_p$-norms ($p=1,2,\\infty$). Extensive experiments on ImageNet-1k across six ordered top-$K$ levels ($K=1, 5, 10, 15,""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/paniagua25a/paniagua25a.pdf,,True,icml2025_papers.json
icml2025_papers:3057,ICML,2025,Splitting & Integrating: Out-of-Distribution Detection via Adversarial Gradient Attribution,9,C-Foundation,adversarial_core;classification_context;vision_context,"Out-of-distribution (OOD) detection is essential for enhancing the robustness and security of deep learning models in unknown and dynamic data environments. Gradient-based OOD detection methods, such as GAIA, analyse the explanation pattern representations of in-distribution (ID) and OOD samples by examining the sensitivity of model outputs w.r.t. model inputs, resulting in superior performance compared to traditional OOD detection methods. However, we argue that the non-zero gradient behaviors of OOD samples do not exhibit significant distinguishability, especially when ID samples are perturbed by random perturbations in high-dimensional spaces, which negatively impacts the accuracy of OOD detection. In this paper, we propose a novel OOD detection method calledS & Ibased on layerSplitting and gradientIntegration via Adversarial Gradient Attribution. Specifically, our approach involves splitting the model’s intermediate layers and iteratively updating adversarial examples layer-by-layer. We then integrate the attribution gradients from each intermediate layer along the attribution path from adversarial examples to the actual input, yielding true explanation pattern representations for both ID and OOD samples. Experiments demonstrate that our S & I algorithm achieves state-of-the-art results, with the average FPR95 of 29.05% (ResNet34)/38.61% (WRN40) and 37.31% (BiT-S) on the CIFAR100 and ImageNet benchmarks, respectively. Our code is available at: https://github.com/LMBTough/S-Ihttps://github.com/LMBTough/S-I","{""adversarial_core"": [""e model’s intermediate layers and iteratively updating adversarial examples layer-by-layer. We then integrate the attribution grad""], ""vision_context"": [""5% (ResNet34)/38.61% (WRN40) and 37.31% (BiT-S) on the CIFAR100 and ImageNet benchmarks, respectively. Our code is ava"", ""/38.61% (WRN40) and 37.31% (BiT-S) on the CIFAR100 and ImageNet benchmarks, respectively. Our code is available at: ht""], ""classification_context"": [""5% (ResNet34)/38.61% (WRN40) and 37.31% (BiT-S) on the CIFAR100 and ImageNet benchmarks, respectively. Our code is ava"", ""/38.61% (WRN40) and 37.31% (BiT-S) on the CIFAR100 and ImageNet benchmarks, respectively. Our code is available at: ht""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/zhang25by/zhang25by.pdf,,True,icml2025_papers.json
icml2025_papers:2623,ICML,2025,TtBA: Two-third Bridge Approach for Decision-Based Adversarial Attack,9,C-Foundation,adversarial_core;classification_context;vision_context,"A key challenge in black-box adversarial attacks is the high query complexity in hard-label settings, where only the top-1 predicted label from the target deep model is accessible. In this paper, we propose a novel normal-vector-based method called Two-third Bridge Attack (TtBA). A innovative bridge direction is introduced which is a weighted combination of the current unit perturbation direction and its unit normal vector, controlled by a weight parameter $k$. We further use binary search to identify $k=k_\text{bridge}$, which has identical decision boundary as the current direction. Notably, we observe that $k=2/3 k_\text{bridge}$ yields a near-optimal perturbation direction, ensuring the stealthiness of the attack. In addition, we investigate the critical importance of local optima during the perturbation direction optimization process and propose a simple and effective approach to detect and escape such local optima. Experimental results on MNIST, FASHION-MNIST, CIFAR10, CIFAR100, and ImageNet datasets demonstrate the strong performance and scalability of our approach. Compared to state-of-the-art non-targeted and targeted attack methods, TtBA consistently delivers superior performance across most experimented datasets and deep learning models. Code is available at https://anonymous.4open.science/r/TtBA-6ECF.","{""adversarial_core"": [""TtBA: Two-third Bridge Approach for Decision-Based Adversarial Attack A key challenge in black-box adversarial attacks is th""], ""vision_context"": [""optima. Experimental results on MNIST, FASHION-MNIST, CIFAR10, CIFAR100, and ImageNet datasets demonstrate the stron"", ""esults on MNIST, FASHION-MNIST, CIFAR10, CIFAR100, and ImageNet datasets demonstrate the strong performance and scalab""], ""classification_context"": [""optima. Experimental results on MNIST, FASHION-MNIST, CIFAR10, CIFAR100, and ImageNet datasets demonstrate the stron"", ""esults on MNIST, FASHION-MNIST, CIFAR10, CIFAR100, and ImageNet datasets demonstrate the strong performance and scalab""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/wang25fg/wang25fg.pdf,,True,icml2025_papers.json
icml2025_papers:460,ICML,2025,Adapting to Evolving Adversaries with Regularized Continual Robust Training,8,C-Foundation,adversarial_core;classification_context;vision_context,"Robust training methods typically defend against specific attack types, such as $\ell_p$ attacks with fixed budgets, and rarely account for the fact that defenders may encounter new attacks over time. A natural solution is to adapt the defended model to new adversaries as they arise via fine-tuning, a method which we call continual robust training (CRT). However, when implemented naively, fine-tuning on new attacks degrades robustness on previous attacks. This raises the question:how can we improve the initial training and fine-tuning of the model to simultaneously achieve robustness against previous and new attacks?We present theoretical results which show that the gap in a model’s robustness against different attacks is bounded by how far each attack perturbs a sample in the model’s logit space, suggesting that regularizing with respect to this logit space distance can help maintain robustness against previous attacks. Extensive experiments on 3 datasets (CIFAR-10, CIFAR-100, and ImageNette) and over 100 attack combinations demonstrate that the proposed regularization improves robust accuracy with little overhead in training time. Our findings and open-source code lay the groundwork for the deployment of models robust to evolving attacks.","{""adversarial_core"": [""demonstrate that the proposed regularization improves robust accuracy with little overhead in training time. Our findings an""], ""vision_context"": [""previous attacks. Extensive experiments on 3 datasets (CIFAR-10, CIFAR-100, and ImageNette) and over 100 attack combin""], ""classification_context"": [""previous attacks. Extensive experiments on 3 datasets (CIFAR-10, CIFAR-100, and ImageNette) and over 100 attack combin"", ""demonstrate that the proposed regularization improves robust accuracy with little overhead in training time. Our findings an""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/dai25c/dai25c.pdf,,True,icml2025_papers.json
icml2025_papers:1901,ICML,2025,DiffAdvMAP: Flexible Diffusion-Based Framework for Generating Natural Unrestricted Adversarial Examples,8,C-Foundation,adversarial_core;classification_context;vision_context,"Unrestricted adversarial examples(UAEs) have posed greater threats to deep neural networks(DNNs) than perturbation-based adversarial examples(AEs) because they can make extensive changes to images without being restricted in a fixed norm perturbation budget. Although current diffusion-based methods can generate more natural UAEs than other unrestricted attack methods, the overall effectiveness of such methods is restricted since they are designed for specific attack conditions. Additionally, the naturalness of UAEs still has room for improvement, as these methods primarily focus on leveraging diffusion models as strong priors to enhance the generation process. This paper proposes a flexible framework named Diffusion-based Adversarial Maximum a Posterior(DiffAdvMAP) to generate more natural UAEs for various scenarios. DiffAdvMAP approaches the generation of UAEs by sampling images from posterior distributions, which is achieved by approximating the posterior distribution of UAEs using the prior distribution of real data learned by the diffusion model. This process enhances the naturalness of the UAEs. By incorporating an adversarial constraint to ensure the effectiveness of the attack, DiffAdvMAP exhibits excellent attack ability and defense robustness. A reconstruction constraint is designed to enhance its flexibility, which allows DiffAdvMAP to be tailored to various attack scenarios. Experimental results on Imagenet show that we achieve a better trade-off between image quality, flexibility, and transferability than baseline unrestricted adversarial attack methods.","{""adversarial_core"": [""on-Based Framework for Generating Natural Unrestricted Adversarial Examples Unrestricted adversarial examples(UAEs) have posed gre""], ""vision_context"": [""amples(AEs) because they can make extensive changes to images without being restricted in a fixed norm perturbation"", ""d to various attack scenarios. Experimental results on Imagenet show that we achieve a better trade-off between image""], ""classification_context"": [""d to various attack scenarios. Experimental results on Imagenet show that we achieve a better trade-off between image""]}",{},https://raw.githubusercontent.com/mlresearch/v267/main/assets/pan25b/pan25b.pdf,,True,icml2025_papers.json
